Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,6,16,6,11.67,0.0,0.0,0.67,33,0,0,0,0
Bailey Scott,6,27,15,21.67,0.17,0.0,0.17,100,83,17,17,0
Bigoa Nyuon,2,19,11,15.0,0.0,0.0,1.0,50,0,0,0,0
Blake Drury,2,17,9,13.0,1.5,0.0,0.5,50,0,0,100,50
Callum Coleman-Jones,3,9,3,6.0,0.0,0.0,1.0,0,0,0,0,0
Cameron Zurhaar,5,19,11,14.2,0.8,1.0,1.8,40,0,0,60,20
Charlie Comben,3,25,8,15.67,0.0,0.0,1.67,33,33,33,0,0
Charlie Lazzaro,5,16,11,13.8,0.2,0.0,0.4,40,0,0,20,0
Colby McKercher,6,22,1,15.67,0.0,0.0,0.17,67,33,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,18,8,13.81,0.56,0.44,0.75,44,0,0,50,6
Darcy Tucker,6,21,8,15.17,0.17,0.0,0.33,67,17,0,17,0
Dylan Stephens,6,18,5,12.17,0.0,0.0,1.0,33,0,0,0,0
Eddie Ford,6,20,3,9.33,1.33,0.17,0.17,17,17,0,83,33
George Wardlaw,5,23,11,16.8,0.4,0.0,1.4,80,20,0,40,0
Griffin Logue,15,17,1,12.47,0.07,0.07,0.4,33,0,0,7,0
Harry Sheezel,6,38,26,33.0,0.17,0.0,0.83,100,100,100,17,0
Hugh Greenwood,2,12,5,8.5,0.5,0.5,0.5,0,0,0,50,0
Jackson Archer,5,11,4,8.4,0.0,0.0,1.2,0,0,0,0,0
Jaidyn Stephenson,4,11,9,10.0,0.75,0.0,0.0,0,0,0,50,25
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,5,19,14,16.0,0.4,0.6,0.8,60,0,0,40,0
Kallan Dawson,4,15,8,12.0,0.0,0.0,0.5,25,0,0,0,0
Liam Shiels,2,12,4,8.0,0.5,0.0,0.0,0,0,0,50,0
Luke Davies-Uniacke,6,30,23,26.83,0.17,0.0,0.83,100,100,83,17,0
Luke McDonald,5,21,9,13.6,0.0,0.0,0.8,20,20,0,0,0
Miller Bergman,12,18,4,11.5,0.0,0.0,0.58,17,0,0,0,0
Nick Larkey,6,11,6,8.17,2.17,0.67,1.5,0,0,0,100,67
Paul Curtis,6,15,5,10.67,2.0,1.5,1.33,17,0,0,100,67
Tarryn Thomas,12,25,10,19.58,0.92,0.33,0.92,75,58,8,42,33
Toby Pink,3,10,5,8.33,0.0,0.0,0.67,0,0,0,0,0
Tom Powell,6,29,14,23.83,0.5,0.17,0.33,83,83,67,33,17
Tristan Xerri,6,19,9,15.0,0.33,0.0,2.33,50,0,0,33,0
Will Phillips,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Zac Fisher,6,25,14,20.67,0.0,0.17,0.67,83,83,17,0,0
Zane Duursma,6,15,7,10.17,0.5,0.83,0.83,17,0,0,33,17
