Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Alex Neal-Bullen,6,24,15,19.0,1.0,0.67,1.0,100,33,0,67,33
Bailey Laurie,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Bayley Fritsch,6,8,5,6.67,2.33,0.67,0.67,0,0,0,100,100
Ben Brown,5,9,4,6.0,1.33,0.0,0.33,0,0,0,67,33
Blake Howes,6,15,7,10.33,0.0,0.33,1.0,33,0,0,0,0
Caleb Windsor,6,16,10,12.67,0.33,0.33,0.33,33,0,0,33,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,6,29,20,24.0,0.33,1.0,0.33,100,100,33,33,0
Christian Salem,6,16,2,9.67,0.0,0.0,0.33,33,0,0,0,0
Clayton Oliver,6,25,16,19.67,0.33,0.33,0.67,100,33,33,33,0
Ed Langdon,6,17,14,15.33,0.33,0.0,0.33,67,0,0,33,0
Harrison Petty,4,10,2,7.33,0.33,1.33,0.67,0,0,0,33,0
Jack Billings,6,17,8,13.0,0.0,1.0,1.0,33,0,0,0,0
Jack Viney,6,23,19,21.0,0.33,0.33,1.67,100,67,0,33,0
Jacob van Rooyen,6,10,8,9.0,1.0,0.33,0.67,0,0,0,67,33
Jake Bowey,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jake Lever,6,19,10,14.67,0.33,0.0,1.33,67,0,0,33,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,6,20,10,15.33,0.0,0.0,1.0,67,33,0,0,0
Kade Chandler,6,20,10,16.0,0.67,1.0,1.33,67,33,0,67,0
Koltyn Tholstrup,1,7,7,7.0,0.0,1.0,0.0,0,0,0,0,0
Kysaiah Pickett,4,13,8,10.67,2.0,1.0,0.0,0,0,0,100,67
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,6,23,15,19.33,0.67,0.67,1.0,100,67,0,67,0
Steven May,5,19,4,13.67,0.0,0.0,0.0,67,0,0,0,0
Taj Woewodin,4,7,1,4.0,0.0,0.33,0.0,0,0,0,0,0
Tom McDonald,5,17,7,11.0,0.0,0.0,1.0,33,0,0,0,0
Tom Sparrow,6,20,12,15.33,0.67,0.33,0.0,33,33,0,33,33
Trent Rivers,6,27,14,19.33,0.0,0.0,0.67,67,33,33,0,0
