Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Clayton Oliver,6,24/04/2023,Tigers,Win 96-78,31,1,0
2022,Clayton Oliver,6,24/04/2022,Tigers,Win 76-54,41,0,1
2021,Clayton Oliver,6,24/04/2021,Tigers,Win 82-48,36,0,1
2023,Christian Petracca,20,30/07/2023,Tigers,Win 130-98,29,1,3
2023,Christian Petracca,6,24/04/2023,Tigers,Win 96-78,26,0,0
2022,Christian Petracca,6,24/04/2022,Tigers,Win 76-54,25,1,2
2021,Christian Petracca,6,24/04/2021,Tigers,Win 82-48,38,1,1
2023,Jack Viney,20,30/07/2023,Tigers,Win 130-98,32,0,0
2023,Jack Viney,6,24/04/2023,Tigers,Win 96-78,30,1,0
2021,Jack Viney,6,24/04/2021,Tigers,Win 82-48,26,0,0
2023,Max Gawn,20,30/07/2023,Tigers,Win 130-98,28,0,1
2023,Max Gawn,6,24/04/2023,Tigers,Win 96-78,17,1,2
2022,Max Gawn,6,24/04/2022,Tigers,Win 76-54,19,0,2
2021,Max Gawn,6,24/04/2021,Tigers,Win 82-48,22,0,0
2023,Lachie Hunter,20,30/07/2023,Tigers,Win 130-98,16,1,0
2023,Lachie Hunter,6,24/04/2023,Tigers,Win 96-78,20,0,0
2022,Lachie Hunter,4,09/04/2022,Tigers,Loss 61-99,19,0,1
2021,Lachie Hunter,7,30/04/2021,Tigers,Loss 55-77,22,0,0
2023,Christian Salem,20,30/07/2023,Tigers,Win 130-98,12,0,0
2021,Christian Salem,6,24/04/2021,Tigers,Win 82-48,39,1,0
2023,Trent Rivers,20,30/07/2023,Tigers,Win 130-98,22,0,0
2023,Trent Rivers,6,24/04/2023,Tigers,Win 96-78,12,0,0
2022,Trent Rivers,6,24/04/2022,Tigers,Win 76-54,19,0,0
2021,Trent Rivers,6,24/04/2021,Tigers,Win 82-48,16,0,0
2023,Alex Neal-Bullen,20,30/07/2023,Tigers,Win 130-98,22,1,0
2023,Alex Neal-Bullen,6,24/04/2023,Tigers,Win 96-78,11,1,1
2022,Alex Neal-Bullen,6,24/04/2022,Tigers,Win 76-54,27,0,2
2021,Alex Neal-Bullen,6,24/04/2021,Tigers,Win 82-48,19,2,1
2023,Ed Langdon,20,30/07/2023,Tigers,Win 130-98,25,0,0
2023,Ed Langdon,6,24/04/2023,Tigers,Win 96-78,20,1,0
2022,Ed Langdon,6,24/04/2022,Tigers,Win 76-54,30,1,1
2021,Ed Langdon,6,24/04/2021,Tigers,Win 82-48,32,0,1
2023,Steven May,20,30/07/2023,Tigers,Win 130-98,14,0,0
2023,Steven May,6,24/04/2023,Tigers,Win 96-78,22,0,0
2022,Steven May,6,24/04/2022,Tigers,Win 76-54,20,0,0
2021,Steven May,6,24/04/2021,Tigers,Win 82-48,24,0,0
2023,Tom Sparrow,6,24/04/2023,Tigers,Win 96-78,20,0,0
2022,Tom Sparrow,6,24/04/2022,Tigers,Win 76-54,24,0,2
2023,Kysaiah Pickett,20,30/07/2023,Tigers,Win 130-98,13,2,1
2023,Kysaiah Pickett,6,24/04/2023,Tigers,Win 96-78,8,1,1
2022,Kysaiah Pickett,6,24/04/2022,Tigers,Win 76-54,9,0,2
2021,Kysaiah Pickett,6,24/04/2021,Tigers,Win 82-48,13,1,2
2023,Bayley Fritsch,6,24/04/2023,Tigers,Win 96-78,8,1,0
2022,Bayley Fritsch,6,24/04/2022,Tigers,Win 76-54,10,2,2
2021,Bayley Fritsch,6,24/04/2021,Tigers,Win 82-48,9,2,1
2023,Jake Bowey,20,30/07/2023,Tigers,Win 130-98,15,0,0
2023,Jake Bowey,6,24/04/2023,Tigers,Win 96-78,13,0,0
2022,Jake Bowey,6,24/04/2022,Tigers,Win 76-54,23,0,0
2021,Jack Billings,5,15/04/2021,Tigers,Loss 48-134,14,0,0
2022,Shane McAdam,5,16/04/2022,Tigers,Win 101-82,10,2,1
2021,Shane McAdam,11,30/05/2021,Tigers,Loss 83-111,3,0,0
2023,Kade Chandler,20,30/07/2023,Tigers,Win 130-98,8,1,0
