Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Taranto,20,30/07/2023,Demons,Loss 98-130,24,1,0
2023,Tim Taranto,6,24/04/2023,Demons,Loss 78-96,33,0,0
2022,Tim Taranto,5,16/04/2022,Demons,Loss 53-120,29,0,0
2021,Tim Taranto,16,03/07/2021,Demons,Win 64-55,28,1,0
2021,Tim Taranto,3,04/04/2021,Demons,Loss 68-102,32,0,0
2022,Toby Nankervis,6,24/04/2022,Demons,Loss 54-76,21,0,1
2021,Toby Nankervis,6,24/04/2021,Demons,Loss 48-82,22,0,1
2023,Jayden Short,6,24/04/2023,Demons,Loss 78-96,30,0,1
2022,Jayden Short,6,24/04/2022,Demons,Loss 54-76,30,0,0
2021,Jayden Short,6,24/04/2021,Demons,Loss 48-82,22,0,0
2023,Dustin Martin,20,30/07/2023,Demons,Loss 98-130,21,3,2
2023,Dustin Martin,6,24/04/2023,Demons,Loss 78-96,25,1,3
2021,Dustin Martin,6,24/04/2021,Demons,Loss 48-82,8,0,0
2023,Shai Bolton,20,30/07/2023,Demons,Loss 98-130,25,1,2
2023,Shai Bolton,6,24/04/2023,Demons,Loss 78-96,20,0,0
2022,Shai Bolton,6,24/04/2022,Demons,Loss 54-76,10,1,1
2021,Shai Bolton,6,24/04/2021,Demons,Loss 48-82,28,1,2
2023,Nick Vlastuin,20,30/07/2023,Demons,Loss 98-130,20,0,0
2023,Nick Vlastuin,6,24/04/2023,Demons,Loss 78-96,21,0,0
2022,Nick Vlastuin,6,24/04/2022,Demons,Loss 54-76,30,0,0
2023,Jacob Hopper,20,30/07/2023,Demons,Loss 98-130,23,0,0
2023,Jacob Hopper,6,24/04/2023,Demons,Loss 78-96,23,1,0
2021,Jacob Hopper,16,03/07/2021,Demons,Win 64-55,21,0,1
2021,Jacob Hopper,3,04/04/2021,Demons,Loss 68-102,25,1,0
2023,Daniel Rioli,20,30/07/2023,Demons,Loss 98-130,16,1,1
2023,Daniel Rioli,6,24/04/2023,Demons,Loss 78-96,21,0,0
2022,Daniel Rioli,6,24/04/2022,Demons,Loss 54-76,17,1,0
2021,Daniel Rioli,6,24/04/2021,Demons,Loss 48-82,13,0,0
2023,Dion Prestia,20,30/07/2023,Demons,Loss 98-130,21,1,0
2023,Dion Prestia,6,24/04/2023,Demons,Loss 78-96,20,0,0
2022,Dion Prestia,6,24/04/2022,Demons,Loss 54-76,27,0,1
2023,Jack Ross,20,30/07/2023,Demons,Loss 98-130,17,0,0
2022,Jack Ross,6,24/04/2022,Demons,Loss 54-76,19,0,0
2021,Jack Ross,6,24/04/2021,Demons,Loss 48-82,9,0,0
2023,Liam Baker,20,30/07/2023,Demons,Loss 98-130,11,2,0
2023,Liam Baker,6,24/04/2023,Demons,Loss 78-96,14,0,1
2022,Liam Baker,6,24/04/2022,Demons,Loss 54-76,16,1,0
2021,Liam Baker,6,24/04/2021,Demons,Loss 48-82,27,0,1
2023,Nathan Broad,20,30/07/2023,Demons,Loss 98-130,12,0,0
2022,Nathan Broad,6,24/04/2022,Demons,Loss 54-76,22,0,0
2021,Nathan Broad,6,24/04/2021,Demons,Loss 48-82,14,0,0
2023,Noah Balta,20,30/07/2023,Demons,Loss 98-130,13,1,0
2023,Noah Balta,6,24/04/2023,Demons,Loss 78-96,10,0,0
2022,Noah Balta,6,24/04/2022,Demons,Loss 54-76,4,0,0
2021,Noah Balta,6,24/04/2021,Demons,Loss 48-82,6,0,0
2023,Jack Graham,20,30/07/2023,Demons,Loss 98-130,17,0,0
2022,Jack Graham,6,24/04/2022,Demons,Loss 54-76,20,1,0
2021,Jack Graham,6,24/04/2021,Demons,Loss 48-82,17,0,0
2023,Kamdyn McIntosh,20,30/07/2023,Demons,Loss 98-130,10,2,0
2023,Kamdyn McIntosh,6,24/04/2023,Demons,Loss 78-96,9,0,0
2022,Kamdyn McIntosh,6,24/04/2022,Demons,Loss 54-76,15,0,0
2021,Kamdyn McIntosh,6,24/04/2021,Demons,Loss 48-82,20,0,0
2022,Thomson Dow,6,24/04/2022,Demons,Loss 54-76,7,0,0
2022,Tom Lynch,6,24/04/2022,Demons,Loss 54-76,6,2,0
2021,Tom Lynch,6,24/04/2021,Demons,Loss 48-82,11,0,0
2023,Sam Banks,20,30/07/2023,Demons,Loss 98-130,15,0,0
2023,Marlion Pickett,20,30/07/2023,Demons,Loss 98-130,15,0,0
2023,Marlion Pickett,6,24/04/2023,Demons,Loss 78-96,23,0,0
2021,Marlion Pickett,6,24/04/2021,Demons,Loss 48-82,21,0,1
2023,Jacob Koschitzke,23,20/08/2023,Demons,Loss 60-87,12,0,0
2023,Jacob Koschitzke,9,13/05/2023,Demons,Loss 49-103,8,0,1
