Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Jordan Dawson,20,29/07/2023,Power,Win 112-65,34,0,3
2023,Jordan Dawson,3,01/04/2023,Power,Win 117-86,18,1,1
2022,Jordan Dawson,23,20/08/2022,Power,Loss 55-111,22,0,1
2022,Jordan Dawson,3,01/04/2022,Power,Win 96-92,24,2,1
2021,Jordan Dawson,15,26/06/2021,Power,Loss 71-81,25,0,0
2023,Rory Laird,20,29/07/2023,Power,Win 112-65,26,0,0
2023,Rory Laird,3,01/04/2023,Power,Win 117-86,26,1,0
2022,Rory Laird,23,20/08/2022,Power,Loss 55-111,26,1,1
2022,Rory Laird,3,01/04/2022,Power,Win 96-92,31,0,0
2021,Rory Laird,21,07/08/2021,Power,Loss 51-55,31,0,2
2021,Rory Laird,8,08/05/2021,Power,Loss 38-87,36,0,0
2023,Matt Crouch,20,29/07/2023,Power,Win 112-65,32,0,0
2022,Matt Crouch,3,01/04/2022,Power,Win 96-92,29,0,0
2023,Reilly O'Brien,20,29/07/2023,Power,Win 112-65,10,0,0
2023,Reilly O'Brien,3,01/04/2023,Power,Win 117-86,16,0,0
2022,Reilly O'Brien,23,20/08/2022,Power,Loss 55-111,18,1,0
2022,Reilly O'Brien,3,01/04/2022,Power,Win 96-92,13,0,0
2021,Reilly O'Brien,21,07/08/2021,Power,Loss 51-55,17,0,0
2021,Reilly O'Brien,8,08/05/2021,Power,Loss 38-87,6,0,0
2023,Brodie Smith,20,29/07/2023,Power,Win 112-65,20,0,0
2023,Brodie Smith,3,01/04/2023,Power,Win 117-86,15,0,0
2022,Brodie Smith,23,20/08/2022,Power,Loss 55-111,12,0,0
2022,Brodie Smith,3,01/04/2022,Power,Win 96-92,18,0,0
2021,Brodie Smith,21,07/08/2021,Power,Loss 51-55,4,0,0
2021,Brodie Smith,8,08/05/2021,Power,Loss 38-87,18,0,0
2023,Taylor Walker,20,29/07/2023,Power,Win 112-65,20,7,4
2023,Taylor Walker,3,01/04/2023,Power,Win 117-86,11,0,1
2022,Taylor Walker,23,20/08/2022,Power,Loss 55-111,11,1,0
2021,Taylor Walker,8,08/05/2021,Power,Loss 38-87,6,0,1
2023,Ben Keays,20,29/07/2023,Power,Win 112-65,15,2,0
2023,Ben Keays,3,01/04/2023,Power,Win 117-86,19,0,2
2022,Ben Keays,23,20/08/2022,Power,Loss 55-111,13,0,2
2022,Ben Keays,3,01/04/2022,Power,Win 96-92,25,0,0
2021,Ben Keays,21,07/08/2021,Power,Loss 51-55,22,1,0
2021,Ben Keays,8,08/05/2021,Power,Loss 38-87,20,0,0
2023,Mitchell Hinge,20,29/07/2023,Power,Win 112-65,17,0,0
2023,Mitchell Hinge,3,01/04/2023,Power,Win 117-86,21,0,0
2022,Mitchell Hinge,23,20/08/2022,Power,Loss 55-111,14,0,0
2022,Mitchell Hinge,3,01/04/2022,Power,Win 96-92,16,0,0
2023,Rory Sloane,20,29/07/2023,Power,Win 112-65,12,1,0
2023,Rory Sloane,3,01/04/2023,Power,Win 117-86,22,0,0
2021,Rory Sloane,21,07/08/2021,Power,Loss 51-55,19,0,0
2021,Rory Sloane,8,08/05/2021,Power,Loss 38-87,20,1,2
2023,Izak Rankine,3,01/04/2023,Power,Win 117-86,17,4,0
2022,Izak Rankine,15,26/06/2022,Power,Loss 91-93,12,3,0
2021,Izak Rankine,14,19/06/2021,Power,Loss 31-81,17,0,1
2023,Josh Rachele,3,01/04/2023,Power,Win 117-86,18,1,1
2022,Josh Rachele,3,01/04/2022,Power,Win 96-92,10,1,0
2023,Wayne Milera,20,29/07/2023,Power,Win 112-65,32,0,0
2023,Wayne Milera,3,01/04/2023,Power,Win 117-86,15,0,0
2022,Wayne Milera,23,20/08/2022,Power,Loss 55-111,8,0,0
2023,Lachlan Sholl,3,01/04/2023,Power,Win 117-86,16,0,1
2022,Lachlan Sholl,3,01/04/2022,Power,Win 96-92,24,1,1
2021,Lachlan Sholl,8,08/05/2021,Power,Loss 38-87,21,0,0
2023,Jake Soligo,20,29/07/2023,Power,Win 112-65,16,0,1
2023,Jake Soligo,3,01/04/2023,Power,Win 117-86,13,1,0
2022,Jake Soligo,23,20/08/2022,Power,Loss 55-111,18,0,0
2023,Chayce Jones,20,29/07/2023,Power,Win 112-65,9,0,0
2023,Chayce Jones,3,01/04/2023,Power,Win 117-86,9,1,0
2022,Chayce Jones,23,20/08/2022,Power,Loss 55-111,12,0,1
2022,Chayce Jones,3,01/04/2022,Power,Win 96-92,7,0,0
2021,Chayce Jones,21,07/08/2021,Power,Loss 51-55,19,0,0
2022,Brayden Cook,3,01/04/2022,Power,Win 96-92,5,1,0
2021,Brayden Cook,21,07/08/2021,Power,Loss 51-55,17,0,0
2023,Lachlan Murphy,20,29/07/2023,Power,Win 112-65,17,1,0
2023,Lachlan Murphy,3,01/04/2023,Power,Win 117-86,18,1,0
2022,Lachlan Murphy,23,20/08/2022,Power,Loss 55-111,10,0,1
2022,Lachlan Murphy,3,01/04/2022,Power,Win 96-92,13,0,2
2021,Lachlan Murphy,21,07/08/2021,Power,Loss 51-55,9,0,0
2021,Lachlan Murphy,8,08/05/2021,Power,Loss 38-87,2,0,0
2023,Luke Nankervis,20,29/07/2023,Power,Win 112-65,15,0,0
2023,Darcy Fogarty,20,29/07/2023,Power,Win 112-65,18,2,2
2022,Darcy Fogarty,23,20/08/2022,Power,Loss 55-111,7,3,2
2022,Darcy Fogarty,3,01/04/2022,Power,Win 96-92,5,0,1
2021,Darcy Fogarty,21,07/08/2021,Power,Loss 51-55,7,1,1
2021,Darcy Fogarty,8,08/05/2021,Power,Loss 38-87,10,1,0
2023,Josh Worrell,20,29/07/2023,Power,Win 112-65,20,0,0
2022,Josh Worrell,23,20/08/2022,Power,Loss 55-111,11,0,0
2023,Luke Pedlar,20,29/07/2023,Power,Win 112-65,12,2,1
2023,Luke Pedlar,3,01/04/2023,Power,Win 117-86,12,3,1
2023,Riley Thilthorpe,20,29/07/2023,Power,Win 112-65,11,0,2
2023,Riley Thilthorpe,3,01/04/2023,Power,Win 117-86,11,5,0
2022,Riley Thilthorpe,23,20/08/2022,Power,Loss 55-111,13,0,0
2021,Riley Thilthorpe,21,07/08/2021,Power,Loss 51-55,6,0,1
2021,Riley Thilthorpe,8,08/05/2021,Power,Loss 38-87,6,2,0
2023,Lachlan Gollant,3,01/04/2023,Power,Win 117-86,9,0,1
2022,Lachlan Gollant,3,01/04/2022,Power,Win 96-92,6,4,0
2023,Max Michalanney,20,29/07/2023,Power,Win 112-65,8,0,0
2023,Max Michalanney,3,01/04/2023,Power,Win 117-86,12,0,0
2023,Mark Keane,20,29/07/2023,Power,Win 112-65,13,0,0
2023,Harry Schoenberg,20,29/07/2023,Power,Win 112-65,15,0,2
2022,Harry Schoenberg,23,20/08/2022,Power,Loss 55-111,18,0,0
2022,Harry Schoenberg,3,01/04/2022,Power,Win 96-92,23,1,1
2021,Harry Schoenberg,21,07/08/2021,Power,Loss 51-55,31,0,0
2021,Harry Schoenberg,8,08/05/2021,Power,Loss 38-87,19,0,1
2023,Sam Berry,3,01/04/2023,Power,Win 117-86,5,0,0
2022,Sam Berry,23,20/08/2022,Power,Loss 55-111,21,1,0
2021,Sam Berry,8,08/05/2021,Power,Loss 38-87,7,0,1
2022,Elliott Himmelberg,3,01/04/2022,Power,Win 96-92,14,4,0
2021,Elliott Himmelberg,21,07/08/2021,Power,Loss 51-55,12,1,0
2021,Elliott Himmelberg,8,08/05/2021,Power,Loss 38-87,10,0,1
2022,Ned McHenry,23,20/08/2022,Power,Loss 55-111,11,0,0
2022,Ned McHenry,3,01/04/2022,Power,Win 96-92,12,1,0
2021,Ned McHenry,21,07/08/2021,Power,Loss 51-55,7,2,0
2021,Ned McHenry,8,08/05/2021,Power,Loss 38-87,1,0,0
