Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aliir Aliir,7,15,6,10.33,0.0,0.0,1.0,33,0,0,0,0
Brandon Zerk-Thatcher,7,15,7,10.0,0.0,0.0,1.67,33,0,0,0,0
Charlie Dixon,6,10,7,9.0,2.0,0.33,1.67,0,0,0,67,67
Connor Rozee,7,26,19,21.67,0.33,0.67,1.67,100,67,33,33,0
Dan Houston,7,28,26,27.0,0.0,0.0,1.33,100,100,100,0,0
Dante Visentini,3,10,4,7.33,0.0,0.0,1.33,0,0,0,0,0
Darcy Byrne-Jones,7,15,8,10.33,0.33,1.33,0.33,33,0,0,33,0
Dylan Williams,2,10,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Esava Ratugolea,7,14,7,11.0,0.0,0.0,1.33,0,0,0,0,0
Francis Evans,3,10,2,5.33,0.67,0.0,0.33,0,0,0,67,0
Ivan Soldo,6,10,8,8.67,0.33,0.0,1.0,0,0,0,33,0
Jackson Mead,7,12,4,9.33,0.33,0.33,0.0,0,0,0,33,0
Jase Burgoyne,6,27,21,23.0,0.0,0.33,1.0,100,100,33,0,0
Jason Horne-Francis,5,24,18,20.67,0.67,0.33,1.33,100,67,0,67,0
Jed McEntee,5,8,2,5.33,0.33,0.33,0.0,0,0,0,33,0
Jeremy Finlayson,4,19,12,15.0,2.67,1.0,0.33,33,0,0,100,100
Jordon Sweet,2,11,5,8.0,0.0,0.0,0.5,0,0,0,0,0
Josh Sinn,3,7,4,5.33,0.0,0.33,0.0,0,0,0,0,0
Kane Farrell,7,26,16,20.67,0.0,0.0,1.0,100,67,33,0,0
Lachie Jones,7,15,6,11.0,0.0,0.0,1.0,33,0,0,0,0
Miles Bergman,7,19,15,16.67,0.67,1.0,0.67,100,0,0,67,0
Mitch Georgiades,4,13,8,10.33,2.0,1.67,1.0,0,0,0,100,67
Ollie Wines,6,26,20,23.0,0.33,0.33,1.67,100,100,33,33,0
Ollie Lord,13,7,5,5.67,2.33,0.67,0.33,0,0,0,100,67
Quinton Narkle,3,13,7,10.67,1.33,0.33,0.33,0,0,0,100,33
Ryan Burton,6,22,18,19.67,0.33,0.33,0.0,100,33,0,33,0
Sam Powell-Pepper,3,11,7,9.33,1.0,1.33,0.67,0,0,0,67,33
Todd Marshall,7,8,7,7.67,1.0,1.0,0.67,0,0,0,67,33
Tom Clurey,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Travis Boak,5,24,7,15.33,0.0,0.67,1.33,67,33,0,0,0
Trent McKenzie,19,8,3,5.33,0.0,0.0,0.0,0,0,0,0,0
Willem Drew,7,23,16,18.33,0.0,0.0,1.33,100,33,0,0,0
Willie Rioli,7,10,6,8.33,1.0,0.33,0.67,0,0,0,67,33
Zak Butters,7,31,24,27.33,0.67,0.67,1.0,100,100,67,67,0
