Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Josh Dunkley,20,29/07/2023,Suns,Loss 55-96,30,0,1
2023,Josh Dunkley,10,20/05/2023,Suns,Win 107-64,29,0,0
2022,Josh Dunkley,10,21/05/2022,Suns,Win 106-87,22,1,1
2021,Josh Dunkley,18,17/07/2021,Suns,Win 90-79,21,0,0
2021,Josh Dunkley,5,17/04/2021,Suns,Win 118-56,38,2,1
2023,Lachie Neale,20,29/07/2023,Suns,Loss 55-96,17,0,0
2023,Lachie Neale,10,20/05/2023,Suns,Win 107-64,35,0,0
2022,Lachie Neale,19,23/07/2022,Suns,Win 110-93,32,0,0
2022,Lachie Neale,6,24/04/2022,Suns,Win 132-80,25,1,1
2021,Lachie Neale,19,24/07/2021,Suns,Win 120-71,19,1,0
2023,Hugh McCluggage,20,29/07/2023,Suns,Loss 55-96,28,1,1
2023,Hugh McCluggage,10,20/05/2023,Suns,Win 107-64,30,1,0
2022,Hugh McCluggage,19,23/07/2022,Suns,Win 110-93,25,1,1
2022,Hugh McCluggage,6,24/04/2022,Suns,Win 132-80,22,0,0
2021,Hugh McCluggage,19,24/07/2021,Suns,Win 120-71,23,0,2
2021,Hugh McCluggage,9,15/05/2021,Suns,Win 124-51,24,1,0
2023,Dayne Zorko,20,29/07/2023,Suns,Loss 55-96,17,1,0
2023,Dayne Zorko,10,20/05/2023,Suns,Win 107-64,13,0,0
2022,Dayne Zorko,19,23/07/2022,Suns,Win 110-93,20,0,2
2022,Dayne Zorko,6,24/04/2022,Suns,Win 132-80,13,0,0
2021,Dayne Zorko,19,24/07/2021,Suns,Win 120-71,21,1,0
2021,Dayne Zorko,9,15/05/2021,Suns,Win 124-51,34,1,2
2023,Will Ashcroft,10,20/05/2023,Suns,Win 107-64,30,1,0
2023,Oscar McInerney,20,29/07/2023,Suns,Loss 55-96,11,0,0
2023,Oscar McInerney,10,20/05/2023,Suns,Win 107-64,13,0,3
2022,Oscar McInerney,19,23/07/2022,Suns,Win 110-93,7,1,0
2022,Oscar McInerney,6,24/04/2022,Suns,Win 132-80,9,0,0
2021,Oscar McInerney,19,24/07/2021,Suns,Win 120-71,18,0,0
2021,Oscar McInerney,9,15/05/2021,Suns,Win 124-51,10,0,0
2023,Joe Daniher,20,29/07/2023,Suns,Loss 55-96,16,0,3
2023,Joe Daniher,10,20/05/2023,Suns,Win 107-64,16,4,1
2022,Joe Daniher,19,23/07/2022,Suns,Win 110-93,10,3,4
2022,Joe Daniher,6,24/04/2022,Suns,Win 132-80,9,3,1
2021,Joe Daniher,19,24/07/2021,Suns,Win 120-71,19,3,4
2021,Joe Daniher,9,15/05/2021,Suns,Win 124-51,14,2,2
2023,Jarrod Berry,20,29/07/2023,Suns,Loss 55-96,20,0,0
2023,Jarrod Berry,10,20/05/2023,Suns,Win 107-64,20,1,1
2022,Jarrod Berry,19,23/07/2022,Suns,Win 110-93,13,0,0
2022,Jarrod Berry,6,24/04/2022,Suns,Win 132-80,17,1,0
2021,Jarrod Berry,19,24/07/2021,Suns,Win 120-71,12,0,0
2023,Zac Bailey,10,20/05/2023,Suns,Win 107-64,12,1,0
2022,Zac Bailey,19,23/07/2022,Suns,Win 110-93,24,1,0
2022,Zac Bailey,6,24/04/2022,Suns,Win 132-80,17,6,0
2021,Zac Bailey,19,24/07/2021,Suns,Win 120-71,21,0,2
2021,Zac Bailey,9,15/05/2021,Suns,Win 124-51,19,2,1
2023,Keidean Coleman,20,29/07/2023,Suns,Loss 55-96,21,0,0
2023,Keidean Coleman,10,20/05/2023,Suns,Win 107-64,13,0,0
2022,Keidean Coleman,6,24/04/2022,Suns,Win 132-80,15,0,0
2021,Keidean Coleman,9,15/05/2021,Suns,Win 124-51,12,1,0
