Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Cerra,4,25,15,21.5,0.75,0.5,0.5,100,75,25,75,0
Adam Saad,5,25,6,17.6,0.0,0.0,0.8,80,40,20,0,0
Blake Acres,7,28,17,22.29,0.57,0.71,0.43,100,86,29,43,14
Brodie Kemp,6,21,11,16.0,0.0,0.17,0.67,67,17,0,0,0
Caleb Marchbank,1,8,8,8.0,0.0,0.0,1.0,0,0,0,0,0
Charlie Curnow,7,15,11,13.14,3.29,2.14,1.14,14,0,0,100,100
Corey Durdin,6,11,2,6.5,0.83,0.67,0.17,0,0,0,50,33
David Cuningham,2,12,12,12.0,0.5,1.0,0.5,0,0,0,50,0
Elijah Hollands,5,22,8,14.8,1.2,0.2,1.2,40,20,0,80,40
George Hewett,7,31,19,24.0,0.14,0.0,1.0,100,86,43,14,0
Harry McKay,7,19,12,14.86,2.57,1.29,1.57,29,0,0,86,86
Jack Carroll,7,20,4,12.29,0.43,0.29,0.43,43,29,0,43,0
Jacob Weitering,5,21,9,16.4,0.0,0.2,1.0,80,20,0,0,0
Jaxon Binns,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0
Jordan Boyd,7,18,12,15.0,0.14,0.14,0.43,57,0,0,14,0
Lachlan Cowan,2,14,11,12.5,0.0,0.5,0.5,0,0,0,0,0
Lachie Fogarty,4,17,11,13.25,0.25,0.0,1.0,25,0,0,25,0
Lewis Young,4,17,7,13.0,0.0,0.0,0.75,50,0,0,0,0
Marc Pittonet,3,19,8,14.67,0.33,0.0,2.33,67,0,0,33,0
Matthew Cottrell,7,14,8,11.0,1.0,0.43,0.57,0,0,0,86,14
Matthew Owies,7,12,3,7.43,1.14,0.71,0.71,0,0,0,71,29
Matthew Kennedy,7,27,10,18.0,0.86,0.29,0.86,57,57,14,71,14
Mitch McGovern,5,26,15,17.8,0.0,0.2,0.6,100,20,20,0,0
Nic Newman,7,26,16,20.14,0.0,0.0,1.0,100,57,14,0,0
Oliver Hollands,7,16,7,11.0,0.29,0.14,1.14,14,0,0,29,0
Orazio Fantasia,6,11,5,7.67,0.33,0.33,0.33,0,0,0,33,0
Patrick Cripps,7,39,20,27.43,0.86,0.14,2.43,100,100,57,71,14
Sam Docherty,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Walsh,3,35,31,33.33,0.0,0.67,1.33,100,100,100,0,0
Tom De Koning,7,16,11,13.71,0.57,1.0,1.43,43,0,0,29,14
Zac Williams,7,23,9,16.14,0.0,0.14,0.57,86,14,0,0,0
