Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Alex Neal-Bullen,7,24,13,18.14,0.71,0.43,0.71,86,29,0,43,29
Bailey Laurie,2,8,5,6.5,1.0,0.0,0.5,0,0,0,50,50
Bayley Fritsch,7,13,5,8.14,2.57,1.14,1.0,0,0,0,86,86
Ben Brown,5,9,4,6.8,1.2,0.6,0.6,0,0,0,60,40
Blake Howes,7,17,7,13.86,0.0,0.14,1.29,71,0,0,0,0
Caleb Windsor,7,16,10,13.86,0.29,0.14,0.43,43,0,0,29,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,7,29,20,25.57,0.71,1.14,0.71,100,100,57,71,0
Christian Salem,6,27,2,16.0,0.17,0.0,0.17,67,50,17,17,0
Clayton Oliver,7,35,16,24.14,0.14,0.29,0.86,100,71,43,14,0
Daniel Turner,1,13,13,13.0,3.0,1.0,1.0,0,0,0,100,100
Ed Langdon,7,26,14,19.0,0.29,0.14,0.43,86,29,14,29,0
Harrison Petty,5,12,2,8.0,0.2,1.0,0.6,0,0,0,20,0
Jack Billings,7,23,2,14.57,0.29,0.71,0.86,57,29,0,29,0
Jack Viney,7,30,14,21.57,0.57,0.29,2.0,86,71,14,43,14
Jacob van Rooyen,7,11,6,9.14,1.29,0.29,1.29,0,0,0,86,29
Jake Bowey,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jake Lever,7,26,4,14.71,0.14,0.0,1.14,57,14,14,14,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,7,20,10,17.14,0.0,0.0,0.57,71,57,0,0,0
Kade Chandler,7,20,9,12.86,1.0,0.57,0.57,29,14,0,57,29
Koltyn Tholstrup,1,7,7,7.0,0.0,1.0,0.0,0,0,0,0,0
Kysaiah Pickett,5,20,8,12.6,2.0,0.8,0.2,20,20,0,100,80
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,7,26,14,19.71,0.43,0.57,2.43,86,57,14,43,0
Steven May,6,25,4,18.33,0.0,0.0,0.67,83,50,17,0,0
Taj Woewodin,5,13,1,5.6,0.0,0.2,0.2,0,0,0,0,0
Tom McDonald,6,18,7,12.5,0.0,0.0,0.67,33,0,0,0,0
Tom Sparrow,7,20,11,15.14,0.43,0.14,0.43,43,29,0,29,14
Trent Rivers,7,27,14,19.57,0.0,0.0,0.57,86,43,14,0,0
