Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,7,20,11,16.0,0.0,0.0,1.0,67,33,0,0,0
Andrew Brayshaw,7,30,18,25.0,0.33,1.0,1.67,100,67,67,33,0
Bailey Banfield,7,22,13,16.33,1.33,1.67,1.0,33,33,0,67,33
Brandon Walker,6,12,10,11.0,0.0,0.0,0.67,0,0,0,0,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,7,37,27,31.0,0.0,0.33,1.33,100,100,100,0,0
Cooper Simpson,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,9,20,14,18.0,0.0,0.0,0.67,67,67,0,0,0
Ethan Hughes,6,14,10,12.67,0.0,0.0,0.67,0,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,7,27,21,24.0,0.33,0.0,0.67,100,100,33,33,0
Heath Chapman,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jaeger O'Meara,6,16,13,14.33,0.0,0.33,0.33,33,0,0,0,0
James Aish,7,28,9,17.67,0.0,0.0,0.0,67,33,33,0,0
Jeremy Sharp,7,19,9,15.0,0.33,0.33,0.67,67,0,0,33,0
Jordan Clark,7,24,21,22.67,0.0,0.67,0.0,100,100,0,0,0
Josh Corbett,5,11,4,7.33,1.0,0.67,0.0,0,0,0,67,33
Joshua Draper,6,12,3,8.33,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,7,16,11,13.0,2.67,0.33,1.0,33,0,0,100,100
Jye Amiss,6,9,0,4.33,1.0,0.33,1.0,0,0,0,67,33
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,7,21,12,16.0,1.33,1.0,0.67,67,33,0,67,67
Luke Ryan,7,24,16,19.67,0.0,0.0,1.33,100,33,0,0,0
Matthew Johnson,7,14,11,12.67,0.33,0.33,0.33,0,0,0,33,0
Matt Taberner,4,10,3,5.67,1.33,0.33,0.67,0,0,0,100,33
Michael Walters,7,16,5,9.33,0.67,0.33,0.67,33,0,0,67,0
Michael Frederick,5,10,9,9.67,1.0,1.0,0.33,0,0,0,67,33
Nat Fyfe,7,37,17,27.0,0.33,0.33,1.0,100,67,67,33,0
Nathan O'Driscoll,10,15,7,12.0,0.0,0.0,0.33,33,0,0,0,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100
Sam Switkowski,5,13,10,11.67,0.33,0.67,1.33,0,0,0,33,0
Sean Darcy,2,13,11,12.0,0.0,0.0,2.0,0,0,0,0,0
Tom Emmett,7,11,6,8.0,0.67,0.0,1.0,0,0,0,67,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
