Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,7,20,7,13.57,0.0,0.0,0.86,43,14,0,0,0
Andrew Brayshaw,7,38,18,27.57,0.29,0.43,1.14,100,86,71,29,0
Bailey Banfield,7,22,13,16.14,1.29,0.86,1.14,57,14,0,86,29
Brandon Walker,6,12,9,10.83,0.0,0.0,1.0,0,0,0,0,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,7,46,26,32.57,0.0,0.43,1.29,100,100,100,0,0
Cooper Simpson,1,6,6,6.0,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,9,23,12,17.44,0.0,0.0,0.89,78,44,0,0,0
Ethan Hughes,6,18,10,13.0,0.0,0.0,0.67,17,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,7,32,21,24.86,0.14,0.0,0.71,100,100,43,14,0
Heath Chapman,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jaeger O'Meara,6,16,4,10.0,0.0,0.5,0.17,17,0,0,0,0
James Aish,7,29,9,22.29,0.0,0.29,0.57,86,71,57,0,0
Jeremy Sharp,7,29,9,17.14,0.43,0.29,0.71,71,14,14,43,0
Jordan Clark,7,30,21,25.14,0.0,0.29,0.86,100,100,43,0,0
Josh Corbett,5,11,4,6.6,0.6,0.6,0.2,0,0,0,40,20
Joshua Draper,6,14,3,8.33,0.0,0.0,0.17,0,0,0,0,0
Josh Treacy,7,16,10,12.0,2.0,0.43,1.14,14,0,0,100,57
Jye Amiss,6,13,0,6.5,1.67,1.17,1.0,0,0,0,83,50
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,7,24,12,19.14,1.14,0.43,0.57,86,57,0,57,57
Luke Ryan,7,33,16,23.43,0.0,0.0,0.86,100,71,29,0,0
Matthew Johnson,7,22,11,14.43,0.14,0.43,0.57,29,14,0,14,0
Matt Taberner,4,10,3,6.75,1.5,0.5,0.5,0,0,0,100,50
Michael Walters,7,21,5,10.29,1.0,1.0,0.86,29,14,0,86,14
Michael Frederick,5,15,8,10.4,1.2,1.0,0.2,20,0,0,80,40
Nat Fyfe,7,37,17,24.0,0.29,0.43,1.0,100,71,43,29,0
Nathan O'Driscoll,10,20,5,13.5,0.1,0.2,0.7,40,20,0,10,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100
Sam Switkowski,5,13,8,11.0,0.6,0.8,1.4,0,0,0,60,0
Sean Darcy,2,13,11,12.0,0.0,0.0,2.0,0,0,0,0,0
Tom Emmett,7,11,5,7.86,0.57,0.14,1.0,0,0,0,43,14
Will Brodie,5,26,16,20.6,0.2,0.2,0.6,100,60,20,20,0
