Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Angus Hastie,3,8,0,4.0,0.0,0.0,0.0,0,0,0,0,0
Anthony Caminiti,5,11,6,8.2,1.4,1.0,0.2,0,0,0,100,40
Ben Paton,12,21,6,13.5,0.0,0.0,0.75,42,8,0,0,0
Brad Crouch,1,15,15,15.0,0.0,0.0,1.0,100,0,0,0,0
Bradley Hill,7,33,12,23.0,0.43,0.71,0.29,71,57,57,43,0
Callum Wilkie,7,20,13,15.71,0.0,0.0,0.57,57,14,0,0,0
Cooper Sharman,7,17,4,10.0,0.57,0.86,0.57,14,0,0,57,0
Dan Butler,4,10,1,5.25,0.25,0.0,0.75,0,0,0,25,0
Darcy Wilson,7,21,9,14.86,0.71,0.71,0.71,57,14,0,57,14
Dougal Howard,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Hugo Garcia,3,14,7,10.67,0.33,0.0,0.33,0,0,0,33,0
Hunter Clark,19,27,1,18.21,0.21,0.11,0.84,74,47,21,21,0
Jack Hayes,1,8,8,8.0,1.0,0.0,2.0,0,0,0,100,0
Jack Higgins,7,16,11,13.43,1.86,1.14,1.0,29,0,0,71,71
Jack Sinclair,6,30,19,24.83,0.5,0.17,1.0,100,83,50,50,0
Jack Steele,7,33,15,26.29,0.14,0.14,1.29,100,86,86,14,0
Jimmy Webster,17,20,11,15.18,0.0,0.0,0.47,53,6,0,0,0
Josh Battle,7,25,11,17.57,0.0,0.0,0.57,71,29,14,0,0
Lance Collard,1,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0
Liam Henry,2,19,14,16.5,1.0,1.5,0.5,50,0,0,50,50
Liam Stocker,7,15,10,12.14,0.0,0.0,0.43,14,0,0,0,0
Marcus Windhager,6,29,18,21.83,0.0,0.17,1.0,100,67,17,0,0
Mason Wood,2,15,3,9.0,0.0,0.0,0.0,50,0,0,0,0
Mattaes Phillipou,7,18,9,12.57,0.43,0.29,0.57,29,0,0,43,0
Max King,4,17,4,12.5,1.5,1.5,2.5,50,0,0,75,50
Mitch Owens,7,22,11,13.86,1.0,0.57,1.71,29,14,0,71,29
Nasiah Wanganeen-Milera,7,32,18,23.86,0.0,0.29,0.57,100,71,57,0,0
Paddy Dow,10,24,7,15.9,0.2,0.1,0.7,60,50,0,20,0
Riley Bonner,7,32,17,23.57,0.14,0.43,0.29,100,86,29,14,0
Rowan Marshall,7,28,11,19.43,0.14,0.29,2.0,71,57,14,14,0
Ryan Byrnes,7,21,14,17.0,0.0,0.0,0.86,57,29,0,0,0
Sebastian Ross,7,28,10,19.86,0.14,0.29,0.29,71,57,29,14,0
Tim Membrey,7,12,9,10.86,1.71,0.57,0.57,0,0,0,86,57
Zaine Cordy,7,15,4,9.0,0.14,0.0,0.43,14,0,0,14,0
Zak Jones,4,16,7,12.25,0.25,0.0,0.25,50,0,0,25,0
