Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Green,21,05/08/2023,Swans,Loss 85-96,38,0,0
2023,Tom Green,7,29/04/2023,Swans,Win 107-106,31,0,0
2022,Tom Green,20,30/07/2022,Swans,Loss 39-112,17,0,0
2022,Tom Green,1,19/03/2022,Swans,Loss 92-112,31,2,0
2021,Tom Green,Elimination Final,28/08/2021,Swans,Win 74-73,12,0,0
2021,Tom Green,18,18/07/2021,Swans,Loss 72-98,22,0,0
2021,Tom Green,5,17/04/2021,Swans,Win 71-69,24,0,0
2023,Stephen Coniglio,21,05/08/2023,Swans,Loss 85-96,25,0,0
2023,Stephen Coniglio,7,29/04/2023,Swans,Win 107-106,28,2,0
2022,Stephen Coniglio,1,19/03/2022,Swans,Loss 92-112,20,1,0
2021,Stephen Coniglio,Elimination Final,28/08/2021,Swans,Win 74-73,11,0,0
2021,Stephen Coniglio,18,18/07/2021,Swans,Loss 72-98,19,0,0
2023,Josh Kelly,21,05/08/2023,Swans,Loss 85-96,23,0,2
2023,Josh Kelly,7,29/04/2023,Swans,Win 107-106,27,0,0
2022,Josh Kelly,20,30/07/2022,Swans,Loss 39-112,25,0,1
2022,Josh Kelly,1,19/03/2022,Swans,Loss 92-112,27,0,0
2021,Josh Kelly,Elimination Final,28/08/2021,Swans,Win 74-73,28,0,1
2021,Josh Kelly,18,18/07/2021,Swans,Loss 72-98,19,0,1
2021,Josh Kelly,5,17/04/2021,Swans,Win 71-69,26,1,1
2023,Lachie Whitfield,21,05/08/2023,Swans,Loss 85-96,19,0,0
2023,Lachie Whitfield,7,29/04/2023,Swans,Win 107-106,23,0,0
2022,Lachie Whitfield,20,30/07/2022,Swans,Loss 39-112,22,0,0
2022,Lachie Whitfield,1,19/03/2022,Swans,Loss 92-112,21,0,0
2021,Lachie Whitfield,Elimination Final,28/08/2021,Swans,Win 74-73,21,0,0
2023,Kieren Briggs,21,05/08/2023,Swans,Loss 85-96,20,0,0
2023,Toby Greene,21,05/08/2023,Swans,Loss 85-96,14,3,1
2023,Toby Greene,7,29/04/2023,Swans,Win 107-106,22,4,0
