Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,4,10,1,7.25,0.5,0.0,0.5,0,0,0,50,0
Andrew McGrath,7,33,16,25.43,0.14,0.0,1.29,100,86,57,14,0
Archie Perkins,4,24,16,20.25,0.75,0.5,1.75,100,75,0,50,25
Ben Hobbs,6,21,13,16.5,0.17,0.17,1.33,67,17,0,17,0
Ben McKay,7,18,9,12.86,0.0,0.0,0.71,29,0,0,0,0
Darcy Parish,5,26,21,23.4,0.4,0.6,0.4,100,100,40,40,0
Dylan Shiel,12,28,2,18.67,0.5,0.08,0.42,75,50,25,25,25
Dyson Heppell,7,30,13,22.14,0.0,0.0,0.43,86,71,43,0,0
Elijah Tsatas,3,14,4,10.0,0.0,0.33,0.0,0,0,0,0,0
Harrison Jones,6,13,4,10.83,1.33,0.67,0.67,0,0,0,83,50
Jade Gresham,7,26,8,15.29,1.29,0.57,0.71,43,29,14,71,29
Jake Kelly,6,20,12,15.67,0.0,0.0,0.33,83,17,0,0,0
Jake Stringer,7,19,9,12.43,2.14,1.29,0.71,14,0,0,100,57
Jayden Laverde,6,17,10,12.83,0.0,0.0,0.17,17,0,0,0,0
Jordan Ridley,17,32,4,20.29,0.06,0.06,0.59,94,59,18,6,0
Jye Caldwell,7,26,13,20.86,0.29,0.14,1.29,86,71,14,29,0
Jye Menzie,5,10,4,6.2,0.2,0.6,0.4,0,0,0,20,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,7,14,7,11.57,2.43,1.29,1.0,0,0,0,86,86
Mason Redman,6,25,15,20.0,0.0,0.33,0.83,100,67,17,0,0
Matt Guelfi,1,12,12,12.0,2.0,0.0,1.0,0,0,0,100,100
Nic Martin,7,44,25,31.14,0.43,0.43,0.29,100,100,100,43,0
Nick Bryan,8,15,4,9.0,0.12,0.25,0.62,12,0,0,12,0
Nick Hind,6,11,5,7.0,0.0,0.5,0.33,0,0,0,0,0
Nik Cox,7,18,12,14.86,0.14,0.14,0.71,57,0,0,14,0
Peter Wright,3,9,8,8.33,2.0,0.33,0.67,0,0,0,100,100
Sam Draper,6,12,5,9.17,0.33,0.67,1.0,0,0,0,33,0
Sam Durham,6,22,11,18.33,0.33,0.17,1.17,83,50,0,33,0
Sam Weideman,16,14,3,9.12,0.94,0.94,0.81,0,0,0,38,38
Todd Goldstein,7,12,7,8.71,0.29,0.0,1.86,0,0,0,29,0
Will Setterfield,3,29,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Xavier Duursma,7,26,12,18.43,0.43,0.0,1.0,71,57,14,29,14
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,7,36,27,30.71,0.43,0.43,2.0,100,100,100,29,14
