Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,7,14,6,9.0,0.67,0.0,0.33,0,0,0,67,0
Cam Mackenzie,7,21,3,13.67,0.0,1.0,0.0,67,33,0,0,0
Chad Wingard,14,26,0,17.33,0.67,0.0,1.0,67,67,67,33,33
Changkuoth Jiath,8,21,15,17.33,0.0,0.0,1.33,100,33,0,0,0
Connor Macdonald,7,24,13,17.0,0.67,1.0,0.0,33,33,0,67,0
Conor Nash,7,32,10,20.0,0.0,0.33,1.0,67,33,33,0,0
Denver Grainger-Barras,7,9,0,5.67,0.67,0.33,0.67,0,0,0,67,0
Dylan Moore,7,25,14,19.67,2.0,0.33,2.67,67,67,33,100,33
Finn Maginness,6,16,14,14.67,1.33,0.33,0.33,33,0,0,67,33
Harry Morrison,3,26,7,15.67,0.33,0.0,0.0,33,33,33,33,0
Henry Hustwaite,4,12,2,6.0,0.0,0.0,0.67,0,0,0,0,0
Jack Ginnivan,7,16,11,13.33,1.0,2.0,0.67,33,0,0,67,33
Jack Gunston,4,16,2,7.67,0.33,1.67,1.0,33,0,0,33,0
Jack Scrimshaw,7,21,15,18.67,0.0,0.0,0.67,100,67,0,0,0
Jai Newcombe,7,32,10,22.0,0.33,0.0,1.33,67,67,33,33,0
Jai Serong,2,11,2,6.5,0.0,0.0,0.5,0,0,0,0,0
James Blanck,15,7,5,5.67,0.0,0.0,1.0,0,0,0,0,0
James Sicily,7,24,19,20.67,0.0,0.0,1.67,100,33,0,0,0
James Worpel,7,21,13,16.0,0.0,0.67,0.67,33,33,0,0,0
Jarman Impey,7,22,13,16.67,0.0,0.33,1.0,67,33,0,0,0
Josh Ward,5,19,7,14.33,0.0,0.33,0.33,67,0,0,0,0
Josh Weddle,7,12,12,12.0,0.33,0.67,0.67,0,0,0,33,0
Karl Amon,7,26,14,20.33,0.67,0.33,0.33,67,67,33,33,33
Lloyd Meek,5,15,10,12.0,1.0,0.0,2.33,33,0,0,67,33
Luke Breust,3,12,8,10.33,0.33,1.0,0.67,0,0,0,33,0
Mabior Chol,7,11,8,9.67,1.33,1.0,1.0,0,0,0,100,33
Massimo D'Ambrosio,6,18,9,14.33,0.0,0.0,0.33,67,0,0,0,0
Max Ramsden,3,9,2,5.67,0.33,0.0,1.0,0,0,0,33,0
Mitch Lewis,3,10,7,8.33,1.0,0.67,0.0,0,0,0,100,0
Ned Reeves,2,10,8,9.0,0.0,0.0,1.0,0,0,0,0,0
Nick Watson,3,16,5,11.33,0.67,2.33,0.33,33,0,0,67,0
Sam Butler,2,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0
Sam Frost,7,14,8,10.33,0.0,0.0,0.67,0,0,0,0,0
Seamus Mitchell,4,10,6,8.67,0.0,0.0,0.67,0,0,0,0,0
Will Day,1,11,11,11.0,0.0,1.0,1.0,0,0,0,0,0
