Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Ben Keays,8,20,11,14.67,1.67,0.67,0.33,33,33,0,100,67
Brayden Cook,5,15,4,8.33,1.33,0.33,0.67,33,0,0,67,33
Brodie Smith,7,22,2,14.33,0.0,0.33,0.67,67,33,0,0,0
Chayce Jones,8,18,11,13.67,0.67,0.0,0.33,33,0,0,67,0
Chris Burgess,4,10,4,7.67,1.0,1.33,0.67,0,0,0,67,33
Daniel Curtin,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Darcy Fogarty,8,14,9,12.0,1.33,1.0,1.0,0,0,0,100,33
Ned McHenry,7,13,9,10.67,1.0,0.0,0.67,0,0,0,100,0
Elliott Himmelberg,2,15,10,12.5,1.0,0.5,1.5,50,0,0,50,50
Harry Schoenberg,11,21,13,16.33,0.67,0.33,0.33,67,33,0,67,0
Izak Rankine,8,17,11,13.33,2.67,0.33,0.0,33,0,0,100,67
Jake Soligo,8,31,23,27.33,0.33,0.33,2.67,100,100,67,33,0
James Borlase,4,14,10,12.0,0.0,0.0,1.0,0,0,0,0,0
Jordan Dawson,8,31,24,27.33,1.0,0.33,1.0,100,100,67,67,33
Jordon Butts,5,11,6,9.0,0.0,0.0,0.67,0,0,0,0,0
Josh Rachele,8,22,17,19.67,0.67,1.0,0.0,100,67,0,67,0
Josh Worrell,8,22,18,20.33,0.0,0.0,1.33,100,67,0,0,0
Lachlan Gollant,3,7,3,5.0,0.33,0.0,0.33,0,0,0,33,0
Lachlan Murphy,3,11,4,8.0,0.0,0.0,1.33,0,0,0,0,0
Lachlan Sholl,5,29,9,19.0,0.67,0.33,0.0,67,33,33,67,0
Luke Nankervis,5,17,15,16.0,0.0,0.33,0.33,100,0,0,0,0
Luke Pedlar,4,10,1,5.0,0.33,0.33,0.0,0,0,0,33,0
Mark Keane,7,17,14,16.0,0.0,0.33,1.0,67,0,0,0,0
Matt Crouch,7,28,24,26.33,0.0,0.0,0.67,100,100,67,0,0
Max Michalanney,8,17,13,15.0,0.0,0.0,1.67,67,0,0,0,0
Mitchell Hinge,8,26,16,22.33,0.0,0.0,1.33,100,67,67,0,0
Nick Murray,17,16,9,12.33,0.0,0.33,0.33,33,0,0,0,0
Patrick Parnell,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Reilly O'Brien,8,14,11,13.0,0.0,0.0,1.0,0,0,0,0,0
Riley Thilthorpe,21,9,3,6.33,0.33,0.33,0.0,0,0,0,33,0
Rory Laird,8,34,23,28.0,0.33,0.67,1.67,100,100,67,33,0
Rory Sloane,22,13,9,11.33,0.0,0.33,1.33,0,0,0,0,0
Sam Berry,5,9,7,8.33,0.33,0.0,1.0,0,0,0,33,0
Taylor Walker,7,15,10,12.33,1.67,0.67,0.67,33,0,0,100,67
Wayne Milera,3,19,13,15.33,0.0,0.0,0.33,33,0,0,0,0
Will Hamill,3,10,7,9.0,0.0,0.0,0.67,0,0,0,0,0
