Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Anthony Caminiti,5,9,5,7.33,1.67,0.67,1.0,0,0,0,100,67,0
Ben Paton,8,18,12,14.33,0.0,0.0,1.67,33,0,0,0,0,0
Brad Crouch,8,24,18,21.67,0.0,0.33,0.33,100,67,0,0,0,0
Bradley Hill,8,26,18,21.67,0.0,0.0,0.0,100,67,33,0,0,0
Callum Wilkie,8,28,8,19.33,0.0,0.33,0.67,67,67,33,0,0,0
Cooper Sharman,1,18,18,18.0,1.0,2.0,1.0,100,0,0,100,0,0
Dan Butler,8,13,6,9.67,2.0,0.67,0.67,0,0,0,100,67,33
Dougal Howard,8,11,8,9.67,0.0,0.0,0.0,0,0,0,0,0,0
Hunter Clark,8,23,20,21.67,0.67,0.0,1.67,100,100,0,67,0,0
Jack Bytel,4,6,3,4.33,0.0,0.33,0.0,0,0,0,0,0,0
Jack Higgins,8,16,11,13.67,1.33,1.0,1.33,33,0,0,100,33,0
Jack Sinclair,8,33,23,27.67,0.33,0.33,0.67,100,100,67,33,0,0
Jack Steele,5,28,19,22.33,0.33,0.33,1.33,100,67,33,33,0,0
Jade Gresham,8,21,10,17.0,1.0,0.67,0.67,67,67,0,67,33,0
Jimmy Webster,2,16,14,15.0,0.0,0.0,0.5,50,0,0,0,0,0
Josh Battle,8,15,8,12.0,0.0,0.0,0.67,33,0,0,0,0,0
Marcus Windhager,6,13,4,7.0,0.0,0.67,0.0,0,0,0,0,0,0
Mason Wood,8,22,17,19.0,1.0,0.0,1.33,100,33,0,100,0,0
Mattaes Phillipou,8,13,12,12.67,0.0,0.33,0.67,0,0,0,0,0,0
Mitch Owens,8,16,15,15.67,1.67,0.33,2.67,100,0,0,100,67,0
Nasiah Wanganeen Milera,8,28,15,21.0,0.0,0.0,0.33,100,67,33,0,0,0
Rowan Marshall,8,26,17,21.33,0.33,1.0,2.33,100,67,33,33,0,0
Ryan Byrnes,8,24,17,20.33,0.0,0.0,0.33,100,67,0,0,0,0
Sebastian Ross,7,27,12,21.0,0.0,0.0,1.0,67,67,33,0,0,0
Tim Membrey,3,12,9,11.0,0.67,1.33,0.33,0,0,0,67,0,0
Zaine Cordy,7,7,1,4.67,0.67,0.0,0.0,0,0,0,67,0,0
