Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Brandon Starcevich,8,16,5,12.4,0.0,0.0,0.6,40,0,0,0,0,0
Cam Rayner,8,17,9,13.8,1.6,0.4,0.8,60,0,0,80,40,20
Charlie Cameron,8,15,12,13.4,4.6,1.0,1.2,20,0,0,100,100,80
Conor McKenna,8,19,14,15.4,0.4,0.4,0.0,60,0,0,40,0,0
Daniel Rich,5,27,13,20.0,0.2,0.0,1.0,60,60,40,20,0,0
Darcy Fort,3,13,9,11.33,0.33,0.67,0.67,0,0,0,33,0,0
Darcy Wilmot,8,15,8,9.8,0.4,0.2,0.8,20,0,0,40,0,0
Dayne Zorko,6,22,16,18.6,0.4,0.6,0.6,100,20,0,40,0,0
Deven Robertson,3,6,1,2.67,0.0,0.0,0.33,0,0,0,0,0,0
Eric Hipwood,8,15,7,10.4,2.2,1.2,0.8,20,0,0,100,80,20
Harris Andrews,8,20,9,14.2,0.0,0.0,1.0,40,20,0,0,0,0
Harry Sharp,1,13,13,13.0,1.0,0.0,1.0,0,0,0,100,0,0
Hugh McCluggage,8,27,21,22.4,0.2,0.6,0.8,100,100,20,20,0,0
Jack Gunston,7,15,6,10.0,1.6,1.2,0.4,20,0,0,80,60,20
Jack Payne,8,14,7,11.2,0.0,0.0,0.6,0,0,0,0,0,0
James Tunstill,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0,0
Jarrod Berry,8,29,12,18.6,0.6,0.2,0.0,80,40,20,40,20,0
Jarryd Lyons,3,7,2,5.33,0.0,0.0,0.67,0,0,0,0,0,0
Jaxon Prior,2,12,2,7.0,0.5,0.0,0.5,0,0,0,50,0,0
Joe Daniher,8,20,14,16.6,2.6,1.2,0.8,80,20,0,100,80,40
Josh Dunkley,8,33,21,26.4,0.0,0.4,1.8,100,100,80,0,0,0
Keidean Coleman,7,16,14,14.8,0.0,0.0,0.8,40,0,0,0,0,0
Lachie Neale,8,37,20,26.8,0.0,0.8,1.2,100,100,40,0,0,0
Lincoln McCarthy,8,17,8,11.2,1.0,0.4,0.6,20,0,0,60,20,20
Noah Answerth,3,16,5,9.33,0.0,0.0,1.0,33,0,0,0,0,0
Oscar McInerney,8,18,10,13.6,0.0,0.2,2.4,40,0,0,0,0,0
Ryan Lester,2,13,9,11.0,0.0,0.5,1.5,0,0,0,0,0,0
Will Ashcroft,8,28,13,21.8,0.6,0.2,0.8,80,60,40,40,20,0
Zac Bailey,8,21,12,17.4,1.4,1.0,0.4,80,20,0,60,40,20
