Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Adam Tomlinson,1,12,12,12.0,0.0,0.0,2.0,0,0,0,0,0
Alex Neal-Bullen,8,24,15,18.2,0.6,0.6,1.0,100,20,0,40,20
Bailey Laurie,3,8,1,4.67,0.67,0.0,0.33,0,0,0,33,33
Bayley Fritsch,8,12,5,8.6,2.4,0.8,0.8,0,0,0,100,100
Ben Brown,5,9,4,6.8,1.2,0.6,0.6,0,0,0,60,40
Blake Howes,8,17,7,11.4,0.0,0.2,1.2,40,0,0,0,0
Caleb Windsor,8,18,10,14.0,0.6,0.6,0.6,40,0,0,60,0
Charlie Spargo,1,12,12,12.0,0.0,1.0,1.0,0,0,0,0,0
Christian Petracca,8,29,20,23.2,0.4,1.2,0.6,100,100,20,40,0
Christian Salem,6,20,2,13.8,0.2,0.0,0.2,60,40,0,20,0
Clayton Oliver,8,31,16,22.4,0.2,0.2,1.2,100,60,40,20,0
Daniel Turner,2,13,5,9.0,1.5,0.5,0.5,0,0,0,50,50
Ed Langdon,8,24,14,18.2,0.4,0.4,0.4,80,40,0,40,0
Harrison Petty,6,13,2,8.2,0.4,1.0,0.6,0,0,0,40,0
Jack Billings,8,18,8,13.8,0.0,0.6,0.6,40,0,0,0,0
Jack Viney,8,23,14,19.2,0.2,0.2,1.8,80,40,0,20,0
Jacob van Rooyen,8,11,7,9.0,0.8,0.6,1.2,0,0,0,60,20
Jake Bowey,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Jake Lever,8,26,10,18.8,0.2,0.0,1.2,80,40,20,20,0
Josh Schache,1,4,4,4.0,0.0,2.0,1.0,0,0,0,0,0
Judd McVee,8,21,10,16.2,0.0,0.0,0.6,60,40,0,0,0
Kade Chandler,8,20,6,12.6,0.6,0.6,0.8,40,20,0,60,0
Koltyn Tholstrup,1,7,7,7.0,0.0,1.0,0.0,0,0,0,0,0
Kysaiah Pickett,6,20,8,13.2,2.0,1.2,0.2,20,20,0,100,80
Marty Hore,3,14,7,11.0,0.0,0.0,0.0,0,0,0,0,0
Max Gawn,8,23,15,19.4,0.8,0.6,1.0,100,60,0,80,0
Steven May,7,25,4,17.8,0.0,0.0,0.4,80,40,20,0,0
Taj Woewodin,6,13,1,7.4,0.0,0.2,0.2,0,0,0,0,0
Tom McDonald,7,17,7,11.8,0.0,0.0,1.0,20,0,0,0,0
Tom Sparrow,8,20,12,15.6,0.4,0.2,0.6,60,20,0,20,20
Trent Rivers,8,27,14,19.2,0.0,0.0,0.6,60,40,20,0,0
