Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Ash Johnson,6,10,4,6.67,1.33,0.33,0.67,0,0,0,100,33,0
Beau McCreery,8,15,2,10.33,0.67,0.0,0.33,33,0,0,33,33,0
Billy Frampton,7,15,8,12.0,1.0,0.33,0.67,33,0,0,100,0,0
Brayden Maynard,8,21,13,17.67,0.0,0.33,0.33,67,33,0,0,0,0
Brody Mihocek,8,10,6,7.67,2.67,0.67,0.33,0,0,0,67,67,67
Daniel McStay,5,16,1,9.0,0.33,0.67,0.33,33,0,0,33,0,0
Darcy Cameron,3,18,10,13.0,0.0,0.67,2.33,33,0,0,0,0,0
Darcy Moore,8,23,17,20.0,0.0,0.33,1.67,100,67,0,0,0,0
Isaac Quaynor,8,22,11,15.33,0.0,0.0,1.0,33,33,0,0,0,0
Jack Crisp,8,26,19,21.67,0.0,0.67,1.0,100,67,33,0,0,0
Jack Ginnivan,4,12,6,9.33,1.0,0.67,0.33,0,0,0,67,33,0
Jeremy Howe,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0,0
John Noble,8,23,21,22.0,0.33,0.0,2.33,100,100,0,33,0,0
Jordan De Goey,7,28,17,23.0,1.0,0.33,0.67,100,67,33,67,33,0
Josh Carmichael,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Josh Daicos,8,31,23,28.0,0.33,1.0,0.67,100,100,67,33,0,0
Mason Cox,3,12,6,8.33,1.0,0.33,2.0,0,0,0,67,33,0
Nathan Kreuger,2,5,2,3.5,0.0,0.0,0.0,0,0,0,0,0,0
Nathan Murphy,7,11,9,10.0,0.0,0.0,0.67,0,0,0,0,0,0
Nick Daicos,8,40,25,30.67,0.67,0.33,1.0,100,100,100,33,33,0
Reef McInnes,3,4,1,2.33,1.0,0.33,0.33,0,0,0,67,33,0
Scott Pendlebury,7,31,21,25.0,0.33,0.0,1.33,100,100,33,33,0,0
Steele Sidebottom,8,30,21,25.0,0.33,0.33,0.67,100,100,33,33,0,0
Taylor Adams,7,22,16,18.67,0.0,0.67,1.0,100,33,0,0,0,0
Tom Mitchell,8,29,22,24.67,0.0,0.0,1.67,100,100,33,0,0,0
Tom Wilson,1,5,5,5.0,0.0,0.0,0.0,0,0,0,0,0,0
Trey Ruscoe,1,11,11,11.0,0.0,0.0,1.0,0,0,0,0,0,0
Will Hoskin Elliott,8,17,9,12.0,0.67,0.0,0.33,33,0,0,67,0,0
Will Kelly,2,8,5,6.5,0.0,0.0,0.0,0,0,0,0,0,0
