Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Cadman,4,6,3,4.5,0.75,0.0,0.25,0,0,0,75,0,0
Adam Kennedy,5,12,3,7.2,0.0,0.0,0.8,0,0,0,0,0,0
Brent Daniels,7,22,13,17.4,1.6,0.6,1.0,80,40,0,80,40,20
Callan Ward,7,22,9,15.6,1.2,0.8,1.0,60,20,0,80,40,0
Connor Idun,8,28,12,19.2,0.0,0.0,0.4,80,40,20,0,0,0
Conor Stone,3,5,2,3.67,0.0,0.0,0.33,0,0,0,0,0,0
Cooper Hamilton,4,19,10,14.25,0.25,0.25,1.0,50,0,0,25,0,0
Daniel Lloyd,6,15,10,12.6,0.6,0.6,0.4,20,0,0,60,0,0
Finn Callaghan,8,26,18,22.4,0.0,0.0,0.2,100,60,40,0,0,0
Harry Himmelberg,8,20,5,13.8,1.6,1.2,1.4,60,20,0,100,40,20
Harry Perryman,4,24,1,16.0,0.75,0.25,0.5,75,50,0,25,25,25
Harry Rowston,6,14,6,8.0,0.0,0.2,0.2,0,0,0,0,0,0
Isaac Cumming,8,25,16,19.4,0.0,0.0,0.2,100,40,20,0,0,0
Jack Buckley,8,20,14,16.6,0.0,0.0,0.8,80,20,0,0,0,0
Jacob Wehr,2,12,3,7.5,0.0,0.0,0.5,0,0,0,0,0,0
Jake Riccardi,4,12,9,10.5,0.5,1.0,0.0,0,0,0,25,25,0
James Peatling,7,16,7,10.2,0.0,0.4,0.4,20,0,0,0,0,0
Jesse Hogan,8,17,9,13.4,1.6,1.6,0.4,60,0,0,80,80,0
Josh Kelly,7,41,21,30.2,0.4,0.6,0.4,100,100,80,20,20,0
Lachie Whitfield,7,31,23,24.8,0.0,0.0,0.2,100,100,20,0,0,0
Lachie Ash,8,28,18,23.2,0.0,0.0,0.0,100,80,40,0,0,0
Matt Flynn,8,16,7,10.4,0.0,0.2,1.0,20,0,0,0,0,0
Nick Haynes,8,29,15,23.0,0.0,0.0,0.0,100,60,60,0,0,0
Ryan Angwin,3,20,10,13.33,0.0,0.0,0.33,33,33,0,0,0,0
Sam Taylor,6,20,7,13.6,0.0,0.0,1.0,40,20,0,0,0,0
Stephen Coniglio,8,38,25,30.0,0.6,0.4,1.2,100,100,100,40,20,0
Toby Bedford,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0,0
Toby Greene,7,24,5,18.2,2.4,1.0,1.0,80,60,0,100,80,40
Tom Green,7,38,31,33.8,0.6,0.2,1.0,100,100,100,20,20,20
