Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Cadman,4,6,3,4.5,0.75,0.0,0.25,0,0,0,75,0,0
Adam Kennedy,5,12,3,7.2,0.0,0.0,0.8,0,0,0,0,0,0
Brent Daniels,7,22,9,15.57,1.57,0.57,1.14,57,29,0,86,43,14
Callan Ward,7,31,9,18.86,1.0,1.0,1.0,71,43,14,71,29,0
Connor Idun,8,28,12,18.12,0.0,0.0,0.25,75,38,12,0,0,0
Conor Stone,3,5,2,3.67,0.0,0.0,0.33,0,0,0,0,0,0
Cooper Hamilton,4,19,10,14.25,0.25,0.25,1.0,50,0,0,25,0,0
Daniel Lloyd,6,15,10,12.17,0.5,0.67,0.33,17,0,0,50,0,0
Finn Callaghan,8,26,13,21.12,0.0,0.12,0.25,88,50,38,0,0,0
Harry Himmelberg,8,20,5,12.0,1.25,0.88,0.88,38,12,0,88,25,12
Harry Perryman,4,24,1,16.0,0.75,0.25,0.5,75,50,0,25,25,25
Harry Rowston,6,14,6,7.83,0.0,0.33,0.33,0,0,0,0,0,0
Isaac Cumming,8,25,16,20.38,0.0,0.0,0.38,100,62,12,0,0,0
Jack Buckley,8,21,11,15.88,0.0,0.0,0.75,62,25,0,0,0,0
Jacob Wehr,2,12,3,7.5,0.0,0.0,0.5,0,0,0,0,0,0
Jake Riccardi,4,12,9,10.5,0.5,1.0,0.0,0,0,0,25,25,0
James Peatling,7,16,7,9.71,0.0,0.57,0.86,14,0,0,0,0,0
Jesse Hogan,8,17,9,13.0,2.0,1.62,0.75,50,0,0,88,88,25
Josh Kelly,7,41,21,29.57,0.43,0.43,0.43,100,100,86,29,14,0
Lachie Whitfield,7,31,17,24.0,0.0,0.0,0.29,100,86,29,0,0,0
Lachie Ash,8,30,18,23.5,0.0,0.0,0.25,100,88,38,0,0,0
Matt Flynn,8,17,7,11.25,0.12,0.25,1.38,25,0,0,12,0,0
Nick Haynes,8,29,15,21.0,0.12,0.0,0.25,100,50,38,12,0,0
Ryan Angwin,3,20,10,13.33,0.0,0.0,0.33,33,33,0,0,0,0
Sam Taylor,6,20,7,13.0,0.0,0.0,1.33,33,17,0,0,0,0
Stephen Coniglio,8,38,25,29.75,0.5,0.5,0.88,100,100,100,38,12,0
Toby Bedford,2,12,10,11.0,0.5,0.0,0.5,0,0,0,50,0,0
Toby Greene,7,24,5,18.29,2.86,1.57,1.29,86,43,0,100,86,57
Tom Green,7,38,27,33.29,0.57,0.14,0.86,100,100,100,29,14,14
