Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Kelly,12,03/06/2023,Magpies,Loss 57-120,29,1,0
2021,Tim Kelly,20,31/07/2021,Magpies,Loss 45-90,20,0,0
2021,Tim Kelly,5,16/04/2021,Magpies,Win 103-76,28,1,1
2023,Liam Duggan,12,03/06/2023,Magpies,Loss 57-120,33,0,0
2022,Liam Duggan,4,09/04/2022,Magpies,Win 87-74,19,0,0
2021,Liam Duggan,20,31/07/2021,Magpies,Loss 45-90,13,0,0
2021,Liam Duggan,5,16/04/2021,Magpies,Win 103-76,36,0,0
2023,Dom Sheed,12,03/06/2023,Magpies,Loss 57-120,43,1,1
2021,Dom Sheed,20,31/07/2021,Magpies,Loss 45-90,23,1,0
2021,Dom Sheed,5,16/04/2021,Magpies,Win 103-76,28,3,0
2023,Alex Witherden,12,03/06/2023,Magpies,Loss 57-120,28,0,0
2022,Alex Witherden,4,09/04/2022,Magpies,Win 87-74,27,0,0
2021,Alex Witherden,5,16/04/2021,Magpies,Win 103-76,30,0,0
2023,Jayden Hunt,12,03/06/2023,Magpies,Loss 57-120,18,0,0
2022,Jayden Hunt,21,05/08/2022,Magpies,Loss 89-96,9,0,0
2021,Jayden Hunt,13,14/06/2021,Magpies,Loss 63-80,17,0,0
2023,Bailey J. Williams,12,03/06/2023,Magpies,Loss 57-120,16,0,0
2023,Jake Waterman,12,03/06/2023,Magpies,Loss 57-120,13,0,0
2022,Jake Waterman,4,09/04/2022,Magpies,Win 87-74,8,1,1
2021,Jake Waterman,20,31/07/2021,Magpies,Loss 45-90,22,0,1
2021,Jake Waterman,5,16/04/2021,Magpies,Win 103-76,14,0,0
2023,Matt Flynn,9,14/05/2023,Magpies,Loss 55-120,16,0,0
2022,Liam Ryan,4,09/04/2022,Magpies,Win 87-74,9,2,0
2023,Andrew Gaff,12,03/06/2023,Magpies,Loss 57-120,22,0,1
2021,Andrew Gaff,20,31/07/2021,Magpies,Loss 45-90,33,0,0
2021,Andrew Gaff,5,16/04/2021,Magpies,Win 103-76,38,0,0
2022,Jeremy McGovern,4,09/04/2022,Magpies,Win 87-74,22,0,0
2021,Jeremy McGovern,20,31/07/2021,Magpies,Loss 45-90,19,0,0
2021,Jeremy McGovern,5,16/04/2021,Magpies,Win 103-76,20,0,0
2023,Elliot Yeo,12,03/06/2023,Magpies,Loss 57-120,26,0,0
2021,Elliot Yeo,20,31/07/2021,Magpies,Loss 45-90,20,1,0
2021,Jamie Cripps,20,31/07/2021,Magpies,Loss 45-90,14,2,1
2021,Jamie Cripps,5,16/04/2021,Magpies,Win 103-76,10,0,1
2022,Jamaine Jones,4,09/04/2022,Magpies,Win 87-74,6,0,0
2021,Tom Cole,20,31/07/2021,Magpies,Loss 45-90,14,0,0
2021,Tom Cole,5,16/04/2021,Magpies,Win 103-76,12,0,0
2023,Oscar Allen,12,03/06/2023,Magpies,Loss 57-120,12,3,0
2021,Oscar Allen,20,31/07/2021,Magpies,Loss 45-90,8,0,0
2021,Oscar Allen,5,16/04/2021,Magpies,Win 103-76,13,5,1
2023,Brady Hough,12,03/06/2023,Magpies,Loss 57-120,16,0,0
2022,Brady Hough,4,09/04/2022,Magpies,Win 87-74,15,0,0
2022,Jack Darling,4,09/04/2022,Magpies,Win 87-74,10,2,0
2021,Jack Darling,20,31/07/2021,Magpies,Loss 45-90,8,1,0
2021,Jack Darling,5,16/04/2021,Magpies,Win 103-76,15,5,1
2023,Reuben Ginbey,12,03/06/2023,Magpies,Loss 57-120,13,0,1
2022,Tom Barrass,4,09/04/2022,Magpies,Win 87-74,11,0,0
2021,Tom Barrass,5,16/04/2021,Magpies,Win 103-76,15,0,0
2023,Jack Petruccelle,12,03/06/2023,Magpies,Loss 57-120,15,0,0
2021,Jack Petruccelle,20,31/07/2021,Magpies,Loss 45-90,7,0,2
2021,Tyler Brockman,21,08/08/2021,Magpies,Win 97-78,5,0,0
2022,Luke Edwards,4,09/04/2022,Magpies,Win 87-74,15,1,0
2023,Noah Long,12,03/06/2023,Magpies,Loss 57-120,16,1,2
2023,Josh Rotham,12,03/06/2023,Magpies,Loss 57-120,12,0,0
2022,Josh Rotham,4,09/04/2022,Magpies,Win 87-74,0,0,0
2021,Josh Rotham,20,31/07/2021,Magpies,Loss 45-90,11,0,0
2021,Josh Rotham,5,16/04/2021,Magpies,Win 103-76,23,0,0
2023,Elijah Hewett,12,03/06/2023,Magpies,Loss 57-120,4,0,0
2023,Callum Jamieson,12,03/06/2023,Magpies,Loss 57-120,17,0,1
2021,Harry Edwards,20,31/07/2021,Magpies,Loss 45-90,10,0,0
2023,Rhett Bazzo,12,03/06/2023,Magpies,Loss 57-120,13,0,0
