Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alwyn Davey Jnr,5,10,1,6.6,0.4,0.0,0.4,0,0,0,40,0
Andrew McGrath,8,31,16,22.6,0.0,0.0,1.0,100,80,20,0,0
Archie Perkins,5,24,16,19.6,0.6,0.4,1.6,100,60,0,40,20
Ben Hobbs,7,21,7,14.4,0.2,0.0,1.4,40,20,0,20,0
Ben McKay,8,18,11,14.2,0.0,0.0,1.0,40,0,0,0,0
Darcy Parish,6,36,21,25.4,0.4,0.4,0.2,100,100,40,40,0
Dylan Shiel,12,19,2,11.0,0.0,0.0,0.4,40,0,0,0,0
Dyson Heppell,8,27,13,19.4,0.0,0.0,0.6,60,40,40,0,0
Elijah Tsatas,3,14,4,10.0,0.0,0.33,0.0,0,0,0,0,0
Harrison Jones,7,13,6,10.8,1.2,0.8,0.8,0,0,0,80,40
Jade Gresham,8,26,10,15.0,1.0,0.4,0.6,40,20,20,60,20
Jake Kelly,7,20,12,16.6,0.0,0.0,0.2,80,20,0,0,0
Jake Stringer,8,19,9,12.0,1.2,1.6,1.0,20,0,0,100,20
Jayden Laverde,7,17,10,13.4,0.0,0.0,0.6,40,0,0,0,0
Jordan Ridley,17,29,16,20.4,0.0,0.0,0.6,100,40,20,0,0
Jye Caldwell,8,26,15,22.4,0.2,0.4,1.4,100,80,20,20,0
Jye Menzie,5,10,4,6.2,0.2,0.6,0.4,0,0,0,20,0
Kaine Baldwin,4,14,0,8.75,0.0,0.0,0.5,0,0,0,0,0
Kyle Langford,8,14,9,12.0,2.4,1.8,1.8,0,0,0,80,80
Mason Redman,7,21,15,18.6,0.0,0.4,0.4,100,60,0,0,0
Matt Guelfi,2,12,10,11.0,1.0,1.0,1.0,0,0,0,50,50
Nic Martin,8,35,25,30.0,0.6,0.2,0.4,100,100,100,60,0
Nick Bryan,8,15,4,9.0,0.0,0.4,0.6,20,0,0,0,0
Nick Hind,6,11,5,6.4,0.0,0.6,0.4,0,0,0,0,0
Nik Cox,8,17,13,15.6,0.0,0.0,0.6,80,0,0,0,0
Peter Wright,4,9,8,8.25,2.0,0.25,0.75,0,0,0,100,100
Sam Draper,6,11,5,8.6,0.2,0.6,0.8,0,0,0,20,0
Sam Durham,7,25,11,20.2,0.4,0.0,0.8,80,80,20,40,0
Sam Weideman,16,10,6,8.0,0.4,0.2,0.6,0,0,0,20,20
Todd Goldstein,8,12,7,9.6,0.2,0.0,2.0,0,0,0,20,0
Will Setterfield,3,29,19,24.0,0.0,0.33,1.0,100,67,33,0,0
Xavier Duursma,8,26,13,20.2,0.6,0.0,1.0,80,80,20,40,20
Zach Reid,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0
Zach Merrett,8,36,27,30.2,0.8,0.8,1.6,100,100,100,40,20
