Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Pearce,8,17,9,12.33,0.0,0.0,0.33,33,0,0,0,0
Andrew Brayshaw,8,31,27,29.33,0.0,1.0,0.33,100,100,100,0,0
Bailey Banfield,8,22,12,15.67,1.33,1.67,0.67,33,33,0,67,33
Brandon Walker,7,13,10,11.33,0.0,0.0,0.33,0,0,0,0,0
Brennan Cox,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Caleb Serong,8,38,27,34.0,0.0,0.0,2.0,100,100,100,0,0
Cooper Simpson,2,6,5,5.5,0.0,0.0,0.0,0,0,0,0,0
Corey Wagner,9,20,14,18.0,0.0,0.0,0.67,67,67,0,0,0
Ethan Hughes,6,14,10,12.67,0.0,0.0,0.67,0,0,0,0,0
Ethan Stanley,2,5,3,4.0,0.0,0.5,0.5,0,0,0,0,0
Hayden Young,8,30,21,25.0,1.0,0.0,1.0,100,100,33,67,33
Heath Chapman,2,17,14,15.5,0.0,0.0,0.5,50,0,0,0,0
Jaeger O'Meara,7,20,13,16.33,0.0,0.0,0.33,67,33,0,0,0
James Aish,8,28,9,18.67,0.0,0.0,0.33,67,33,33,0,0
Jeremy Sharp,8,18,9,14.67,0.67,0.67,1.0,67,0,0,67,0
Jordan Clark,8,25,23,24.0,0.0,0.33,0.33,100,100,33,0,0
Josh Corbett,5,11,4,7.33,1.0,0.67,0.0,0,0,0,67,33
Joshua Draper,7,12,3,8.33,0.0,0.0,0.0,0,0,0,0,0
Josh Treacy,8,12,10,11.0,3.0,0.33,1.33,0,0,0,100,100
Jye Amiss,7,12,0,7.0,1.33,0.33,1.67,0,0,0,67,67
Karl Worner,1,12,12,12.0,0.0,0.0,0.0,0,0,0,0,0
Luke Jackson,8,15,12,14.0,1.33,1.67,1.0,67,0,0,67,67
Luke Ryan,8,39,16,24.67,0.0,0.0,1.33,100,33,33,0,0
Matthew Johnson,8,25,13,17.33,0.67,0.67,0.67,33,33,33,67,0
Matt Taberner,4,10,3,5.67,1.33,0.33,0.67,0,0,0,100,33
Michael Walters,8,16,7,12.33,1.0,0.67,1.0,33,0,0,100,0
Michael Frederick,6,15,10,11.67,1.0,0.67,0.0,33,0,0,67,33
Nat Fyfe,8,37,8,24.0,0.33,0.33,0.67,67,67,67,33,0
Nathan O'Driscoll,10,15,7,12.0,0.0,0.0,0.33,33,0,0,0,0
Neil Erasmus,3,9,2,5.33,0.0,0.0,0.0,0,0,0,0,0
Oscar McDonald,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Sam Sturt,1,6,6,6.0,2.0,0.0,0.0,0,0,0,100,100
Sam Switkowski,5,13,10,11.67,0.33,0.67,1.33,0,0,0,33,0
Sean Darcy,3,13,10,11.33,0.67,0.0,1.67,0,0,0,33,33
Tom Emmett,8,11,7,9.0,0.33,0.33,1.33,0,0,0,33,0
Will Brodie,5,26,16,22.0,0.0,0.0,0.67,100,67,33,0,0
