Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Alex Sexton,3,21,14,17.33,0.0,0.33,0.67,67,33,0,0,0
Bailey Humphrey,6,16,7,11.67,0.5,1.33,1.0,33,0,0,50,0
Ben Ainsworth,8,22,8,15.62,0.88,0.38,0.25,62,25,0,62,25
Ben King,8,10,3,7.25,2.75,1.0,1.25,0,0,0,88,88
Ben Long,2,4,3,3.5,0.5,1.0,0.0,0,0,0,50,0
Bodhi Uwland,6,15,6,9.83,0.0,0.0,0.5,17,0,0,0,0
Brandon Ellis,3,15,8,11.67,0.0,0.67,0.33,33,0,0,0,0
Brayden Fiorini,8,27,14,20.62,0.62,0.38,0.38,88,62,12,50,12
Charlie Ballard,8,19,10,12.38,0.0,0.0,0.75,12,0,0,0,0
Connor Budarick,3,21,7,15.33,0.0,0.0,0.67,67,33,0,0,0
Darcy Macpherson,2,2,1,1.5,0.0,0.0,0.0,0,0,0,0,0
David Swallow,8,16,2,8.62,0.5,0.0,0.38,12,0,0,25,12
Ethan Read ,4,5,4,4.5,0.75,0.25,0.5,0,0,0,50,25
Jack Lukosius,8,22,9,15.25,0.5,0.62,0.5,50,25,0,25,12
Jake Rogers,3,22,6,11.67,0.33,0.0,0.0,33,33,0,33,0
Jarrod Witts,7,19,6,13.86,0.14,0.29,2.14,43,0,0,14,0
Jed Walter,6,8,4,6.17,1.17,0.83,1.33,0,0,0,83,33
Levi Casboult,3,10,8,9.0,0.0,0.33,1.0,0,0,0,0,0
Mac Andrew,5,24,8,16.4,0.0,0.2,1.0,60,20,0,0,0
Malcolm Rosas,4,13,3,8.0,2.0,1.0,1.0,0,0,0,100,75
Matt Rowell,8,33,16,24.12,0.62,0.12,3.38,100,88,50,50,12
Ned Moyle,1,14,14,14.0,1.0,0.0,2.0,0,0,0,100,0
Nick Holman,8,13,6,8.62,0.5,0.88,0.12,0,0,0,38,12
Noah Anderson,8,36,18,28.5,0.75,0.5,1.38,100,88,75,62,12
Rory Atkins,3,20,8,12.33,0.0,0.33,0.0,33,33,0,0,0
Sam Clohesy,5,22,14,17.4,0.8,0.0,0.2,80,20,0,60,20
Sam Day,1,7,7,7.0,1.0,1.0,1.0,0,0,0,100,0
Sam Flanders,8,35,22,29.5,0.12,0.0,0.88,100,100,88,12,0
Sam Collins,8,16,11,13.25,0.0,0.0,0.62,25,0,0,0,0
Thomas Berry,8,22,6,12.25,0.25,0.5,1.62,38,12,0,25,0
Touk Miller,8,30,23,26.62,0.12,0.38,1.12,100,100,75,12,0
Wil Powell,8,28,13,18.88,0.0,0.12,1.0,75,50,12,0,0
Will Graham,5,17,9,12.6,0.2,0.0,2.0,20,0,0,20,0
