Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Rowan Marshall,20,30/07/2023,Hawks,Win 122-93,22,1,0
2023,Rowan Marshall,11,27/05/2023,Hawks,Loss 78-88,17,0,0
2022,Rowan Marshall,20,30/07/2022,Hawks,Win 75-63,30,0,0
2022,Rowan Marshall,4,10/04/2022,Hawks,Win 142-73,11,0,0
2021,Rowan Marshall,7,01/05/2021,Hawks,Win 128-59,15,2,0
2023,Brad Crouch,20,30/07/2023,Hawks,Win 122-93,32,3,0
2023,Brad Crouch,11,27/05/2023,Hawks,Loss 78-88,26,1,0
2022,Brad Crouch,20,30/07/2022,Hawks,Win 75-63,30,1,1
2022,Brad Crouch,4,10/04/2022,Hawks,Win 142-73,29,0,0
2021,Brad Crouch,7,01/05/2021,Hawks,Win 128-59,32,0,0
2023,Jack Sinclair,20,30/07/2023,Hawks,Win 122-93,26,0,0
2023,Jack Sinclair,11,27/05/2023,Hawks,Loss 78-88,18,0,0
2022,Jack Sinclair,20,30/07/2022,Hawks,Win 75-63,24,0,0
2022,Jack Sinclair,4,10/04/2022,Hawks,Win 142-73,35,0,0
2021,Jack Sinclair,7,01/05/2021,Hawks,Win 128-59,26,1,1
2023,Jack Steele,20,30/07/2023,Hawks,Win 122-93,23,0,0
2023,Jack Steele,11,27/05/2023,Hawks,Loss 78-88,14,0,0
2022,Jack Steele,20,30/07/2022,Hawks,Win 75-63,31,0,0
2022,Jack Steele,4,10/04/2022,Hawks,Win 142-73,33,1,1
2021,Jack Steele,7,01/05/2021,Hawks,Win 128-59,27,0,0
2023,Mason Wood,20,30/07/2023,Hawks,Win 122-93,25,1,0
2023,Mason Wood,11,27/05/2023,Hawks,Loss 78-88,18,1,0
2022,Mason Wood,20,30/07/2022,Hawks,Win 75-63,18,1,0
2022,Mason Wood,4,10/04/2022,Hawks,Win 142-73,12,0,0
2023,Nasiah Wanganeen-Milera,20,30/07/2023,Hawks,Win 122-93,33,1,0
2023,Nasiah Wanganeen-Milera,11,27/05/2023,Hawks,Loss 78-88,25,0,0
2022,Nasiah Wanganeen-Milera,4,10/04/2022,Hawks,Win 142-73,18,0,1
2023,Callum Wilkie,20,30/07/2023,Hawks,Win 122-93,19,0,0
2023,Callum Wilkie,11,27/05/2023,Hawks,Loss 78-88,21,0,0
2022,Callum Wilkie,20,30/07/2022,Hawks,Win 75-63,14,0,0
2022,Callum Wilkie,4,10/04/2022,Hawks,Win 142-73,10,0,0
2021,Callum Wilkie,7,01/05/2021,Hawks,Win 128-59,21,0,0
2023,Liam Henry,24,26/08/2023,Hawks,Win 93-56,15,0,0
2021,Liam Henry,17,10/07/2021,Hawks,Win 108-46,9,0,1
2023,Bradley Hill,11,27/05/2023,Hawks,Loss 78-88,19,0,0
2022,Bradley Hill,20,30/07/2022,Hawks,Win 75-63,15,0,0
2022,Bradley Hill,4,10/04/2022,Hawks,Win 142-73,23,4,0
2021,Bradley Hill,7,01/05/2021,Hawks,Win 128-59,27,0,0
2023,Mitch Owens,20,30/07/2023,Hawks,Win 122-93,13,0,0
2022,Mitch Owens,20,30/07/2022,Hawks,Win 75-63,11,1,1
2023,Liam Stocker,20,30/07/2023,Hawks,Win 122-93,17,0,0
2023,Liam Stocker,11,27/05/2023,Hawks,Loss 78-88,23,0,0
2021,Liam Stocker,10,22/05/2021,Hawks,Win 86-63,16,0,1
2023,Sebastian Ross,11,27/05/2023,Hawks,Loss 78-88,16,0,0
2022,Sebastian Ross,20,30/07/2022,Hawks,Win 75-63,26,1,1
2022,Sebastian Ross,4,10/04/2022,Hawks,Win 142-73,26,0,0
2021,Sebastian Ross,7,01/05/2021,Hawks,Win 128-59,29,0,1
2023,Hunter Clark,20,30/07/2023,Hawks,Win 122-93,18,1,0
2023,Hunter Clark,11,27/05/2023,Hawks,Loss 78-88,1,0,0
2022,Hunter Clark,20,30/07/2022,Hawks,Win 75-63,22,0,0
2021,Hunter Clark,7,01/05/2021,Hawks,Win 128-59,26,2,0
2023,Jack Higgins,20,30/07/2023,Hawks,Win 122-93,12,2,3
2023,Jack Higgins,11,27/05/2023,Hawks,Loss 78-88,13,0,1
2022,Jack Higgins,20,30/07/2022,Hawks,Win 75-63,15,1,2
2021,Jack Higgins,7,01/05/2021,Hawks,Win 128-59,18,4,0
2023,Marcus Windhager,20,30/07/2023,Hawks,Win 122-93,18,0,0
2022,Marcus Windhager,20,30/07/2022,Hawks,Win 75-63,11,0,0
2022,Marcus Windhager,4,10/04/2022,Hawks,Win 142-73,15,0,0
2023,Jimmy Webster,20,30/07/2023,Hawks,Win 122-93,14,0,0
2023,Jimmy Webster,11,27/05/2023,Hawks,Loss 78-88,16,0,0
2022,Jimmy Webster,20,30/07/2022,Hawks,Win 75-63,12,0,0
2022,Jimmy Webster,4,10/04/2022,Hawks,Win 142-73,20,0,0
