Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Brad Close,8,15,11,13.67,1.0,0.67,1.0,67,0,0,67,33,0
Brandan Parfitt,2,13,5,9.0,0.0,0.0,0.5,0,0,0,0,0,0
Cameron Guthrie,6,24,20,22.0,0.0,0.0,0.67,100,100,0,0,0,0
Cooper Whyte,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0
Esava Ratugolea,8,13,5,9.67,0.0,0.0,2.0,0,0,0,0,0,0
Gary Rohan,6,11,5,8.33,1.0,1.33,0.67,0,0,0,100,0,0
Gryan Miers,8,24,12,17.67,0.33,0.0,0.67,67,33,0,33,0,0
Isaac Smith,8,21,19,19.67,0.33,1.0,0.67,100,33,0,33,0,0
Jack Bowes,6,19,3,12.0,0.33,0.33,0.33,33,0,0,33,0,0
Jake Kolodjashnij,5,17,9,13.67,0.0,0.33,0.33,67,0,0,0,0,0
Jed Bews,6,12,2,7.67,0.0,0.0,0.0,0,0,0,0,0,0
Jeremy Cameron,8,20,15,17.33,3.67,1.0,1.0,100,33,0,100,100,100
Jonathon Ceglar,2,14,12,13.0,0.0,0.0,1.0,0,0,0,0,0,0
Mark Blicavs,8,16,15,15.33,0.67,0.0,1.67,100,0,0,67,0,0
Max Holmes,8,23,18,21.0,0.67,0.0,1.33,100,67,0,67,0,0
Mitch Duncan,5,20,16,17.33,0.0,0.33,1.0,100,33,0,0,0,0
Mitchell Knevitt,3,15,3,11.0,0.33,0.0,0.0,67,0,0,33,0,0
Oliver Henry,8,17,9,12.33,1.67,1.33,1.0,33,0,0,100,67,0
Oliver Dempsey,1,6,6,6.0,0.0,1.0,0.0,0,0,0,0,0,0
Patrick Dangerfield,8,31,16,25.0,0.33,0.67,0.67,100,67,67,33,0,0
Rhys Stanley,4,16,9,11.67,0.0,0.0,1.67,33,0,0,0,0,0
Sam De Koning,6,14,10,12.0,0.0,0.0,0.33,0,0,0,0,0,0
Sam Simpson,3,14,9,11.0,2.0,1.0,0.67,0,0,0,100,100,0
Tanner Bruhn,5,13,11,12.0,1.0,0.0,0.0,0,0,0,67,33,0
Tom Stewart,7,26,23,24.33,0.0,0.0,1.0,100,100,33,0,0,0
Tom Atkins,8,17,16,16.67,0.33,0.0,2.0,100,0,0,33,0,0
Tom Hawkins,8,16,8,12.67,4.67,1.0,0.67,33,0,0,100,67,67
Tyson Stengle,5,10,6,8.33,1.0,0.0,0.33,0,0,0,67,33,0
Zach Guthrie,8,18,13,16.33,0.0,0.0,1.0,67,0,0,0,0,0
Zach Tuohy,7,14,11,12.33,0.67,0.33,1.0,0,0,0,67,0,0
