Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aaron Naughton,8,14,11,13.0,3.33,0.0,1.0,0,0,0,100,100
Adam Treloar,8,33,29,31.0,0.33,0.67,1.67,100,100,100,33,0
Alex Keath,18,17,12,14.33,0.0,0.0,0.0,33,0,0,0,0
Anthony Scott,22,13,4,8.0,0.33,0.0,0.67,0,0,0,33,0
Arthur Jones,13,4,0,2.33,0.0,0.33,0.33,0,0,0,0,0
Bailey Dale,8,39,29,32.67,1.0,0.0,0.0,100,100,100,67,33
Bailey Smith,19,21,18,19.33,0.0,0.33,0.67,100,33,0,0,0
Bailey Williams,8,19,18,18.33,0.67,0.33,0.33,100,0,0,33,33
Buku Khamis,8,11,10,10.67,0.0,0.0,1.0,0,0,0,0,0
Caleb Daniel,5,16,11,13.0,0.33,0.0,0.67,33,0,0,33,0
Caleb Poulter,2,8,4,6.0,0.0,1.0,0.5,0,0,0,0,0
Charlie Clarke,1,6,6,6.0,0.0,1.0,0.0,0,0,0,0,0
Cody Weightman,7,10,1,6.67,1.0,0.33,0.33,0,0,0,33,33
Ed Richards,7,23,17,19.33,0.33,0.33,0.67,100,33,0,33,0
Harvey Gallagher,8,14,8,10.33,0.33,0.0,0.67,0,0,0,33,0
Jack Macrae,6,30,18,23.0,0.33,0.0,1.0,100,67,33,33,0
Jamarra Ugle-Hagan,6,13,4,9.67,2.33,1.67,0.67,0,0,0,100,100
James Harmes,4,21,14,17.0,0.0,0.0,1.0,67,33,0,0,0
James O'Donnell,4,13,6,10.67,0.0,0.0,0.33,0,0,0,0,0
Jason Johannisen,8,31,19,23.0,0.0,0.33,0.67,100,33,33,0,0
Lachlan Bramble,8,18,16,17.33,0.0,0.0,0.0,100,0,0,0,0
Lachlan McNeil,1,14,14,14.0,0.0,0.0,0.0,0,0,0,0,0
Laitham Vandermeer,8,10,7,8.67,1.0,0.33,0.0,0,0,0,67,33
Liam Jones,8,18,11,15.0,0.0,0.0,1.67,67,0,0,0,0
Luke Cleary,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Marcus Bontempelli,8,27,24,25.67,1.67,1.0,0.67,100,100,67,67,67
Nick Coffield,2,10,1,5.5,0.0,0.0,0.5,0,0,0,0,0
Oskar Baker,5,16,8,13.33,0.0,0.33,0.0,67,0,0,0,0
Rhylee West,7,15,12,13.0,1.33,0.33,1.33,33,0,0,100,33
Riley Garcia,3,17,13,15.33,0.0,0.67,1.0,67,0,0,0,0
Rory Lobb,3,14,7,9.67,0.33,0.33,1.33,0,0,0,33,0
Ryan Gardner,10,11,6,8.0,0.0,0.0,0.0,0,0,0,0,0
Ryley Sanders,6,23,5,12.0,0.0,0.0,0.0,33,33,0,0,0
Sam Darcy,7,13,9,10.67,1.67,1.0,0.0,0,0,0,100,33
Taylor Duryea,6,22,5,13.67,0.0,0.0,1.0,33,33,0,0,0
Tom Liberatore,6,35,20,26.67,0.33,0.0,2.33,100,100,67,33,0
Tim English,8,23,17,19.33,1.33,1.33,2.33,100,33,0,100,33
