Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Aaron Francis,3,7,7,7.0,0.0,1.0,0.33,0,0,0,0,0,0
Angus Sheldrick,1,3,3,3.0,0.0,0.0,0.0,0,0,0,0,0,0
Braeden Campbell,8,20,12,15.38,0.12,0.0,0.88,62,12,0,12,0,0
Callum Mills,8,31,14,22.75,0.5,0.0,0.5,88,75,38,38,12,0
Chad Warner,8,30,15,24.5,0.5,1.0,0.5,100,62,62,38,12,0
Corey Warner,1,8,8,8.0,1.0,0.0,0.0,0,0,0,100,0,0
Dane Rampe,4,25,15,19.0,0.0,0.0,0.25,100,25,25,0,0,0
Dylan Stephens,7,27,7,15.14,0.43,0.14,1.0,43,14,14,43,0,0
Errol Gulden,8,37,15,24.0,0.38,0.88,2.12,100,75,50,38,0,0
Harry Cunningham,8,16,3,10.38,0.25,0.12,0.62,12,0,0,12,12,0
Hayden McLean,6,19,6,11.17,0.5,0.33,0.17,17,0,0,50,0,0
Isaac Heeney,8,20,10,14.88,0.88,0.88,1.0,50,12,0,62,25,0
Jake Lloyd,8,28,19,23.75,0.12,0.12,0.5,100,88,38,12,0,0
James Rowbottom,8,19,12,15.12,0.25,0.25,1.62,50,0,0,25,0,0
Joel Amartey,4,16,4,9.0,1.5,1.5,1.0,25,0,0,50,50,25
Justin McInerney,7,23,8,15.57,0.29,0.14,0.29,43,29,0,29,0,0
Lance Franklin,5,13,8,10.0,1.4,1.4,1.6,0,0,0,60,60,20
Logan McDonald,8,13,5,10.0,1.88,0.62,0.88,0,0,0,88,50,25
Luke Parker,8,34,15,24.25,0.25,0.25,1.25,100,75,50,25,0,0
Marc Sheather,2,4,2,3.0,0.5,0.0,0.0,0,0,0,50,0,0
Matt Roberts,5,14,3,6.4,0.0,0.2,0.4,0,0,0,0,0,0
Nick Blakey,8,30,12,20.88,0.25,0.12,0.75,88,50,12,25,0,0
Oliver Florent,8,33,10,20.75,0.25,0.0,0.5,75,50,38,25,0,0
Peter Ladhams,8,24,11,16.38,0.25,0.12,1.5,62,25,0,25,0,0
Robbie Fox,4,24,16,18.5,0.0,0.0,1.0,100,25,0,0,0,0
Ryan Clarke,3,14,11,12.0,0.67,0.33,0.33,0,0,0,67,0,0
Tom McCartin,6,16,5,11.67,0.0,0.0,0.33,17,0,0,0,0,0
Tom Papley,8,25,8,13.62,2.12,1.62,1.12,38,12,12,100,50,25
Will Gould,2,9,3,6.0,0.0,0.0,0.5,0,0,0,0,0,0
Will Hayward,8,19,8,12.25,1.25,1.12,0.62,25,0,0,75,38,12
