Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %,3 Goals %
Alex Davies,3,16,10,12.67,0.0,0.0,0.67,33,0,0,0,0,0
Alex Sexton,5,8,3,4.4,0.6,0.6,0.2,0,0,0,60,0,0
Bailey Humphrey,5,15,1,8.4,0.6,0.8,1.2,20,0,0,40,20,0
Ben Ainsworth,7,24,11,16.6,0.8,0.8,0.6,60,20,0,60,20,0
Ben King,8,10,4,7.0,2.8,0.2,1.8,0,0,0,100,80,40
Ben Long,8,14,9,11.2,0.0,0.0,0.2,0,0,0,0,0,0
Bodhi Uwland,2,20,5,12.5,0.0,0.0,1.0,50,50,0,0,0,0
Brandon Ellis,4,25,11,18.25,0.5,0.5,0.5,75,50,25,50,0,0
Brayden Fiorini,6,24,8,17.4,0.6,0.6,1.2,60,60,0,60,0,0
Charlie Ballard,8,24,10,16.0,0.0,0.0,1.0,60,20,0,0,0,0
Charlie Constable,2,26,19,22.5,0.0,0.0,0.5,100,50,50,0,0,0
Darcy Macpherson,8,31,17,25.4,0.0,0.2,0.4,100,80,60,0,0,0
David Swallow,8,25,16,19.0,0.6,0.4,0.4,100,40,20,20,20,20
Elijah Hollands,4,15,10,13.0,0.25,0.25,0.25,50,0,0,25,0,0
Hewago Paul Oea,2,11,10,10.5,0.0,0.0,0.0,0,0,0,0,0,0
Jack Lukosius,8,20,11,15.4,0.6,2.2,1.0,60,20,0,60,0,0
James Tsitas,1,2,2,2.0,0.0,0.0,0.0,0,0,0,0,0,0
Jarrod Witts,6,17,12,14.2,0.6,0.0,2.0,40,0,0,60,0,0
Joel Jeffrey,4,11,5,8.0,1.0,1.0,0.75,0,0,0,100,0,0
Jy Farrar,2,18,14,16.0,0.0,0.5,2.0,50,0,0,0,0,0
Lachie Weller,6,30,18,25.0,0.0,0.0,0.2,100,80,60,0,0,0
Levi Casboult,6,18,8,11.6,1.0,0.4,0.6,20,0,0,60,40,0
Mabior Chol,5,13,3,7.0,1.0,1.0,0.4,0,0,0,60,40,0
Mac Andrew,3,12,7,10.33,0.0,0.0,0.33,0,0,0,0,0,0
Malcolm Rosas,7,11,3,7.6,1.2,0.0,0.2,0,0,0,60,20,20
Matt Rowell,8,26,12,18.2,0.0,0.2,2.0,80,20,20,0,0,0
Ned Moyle,2,5,4,4.5,0.0,0.0,0.0,0,0,0,0,0,0
Nick Holman,7,19,8,13.8,1.0,0.8,0.8,40,0,0,80,20,0
Noah Anderson,8,38,25,32.0,1.0,0.8,0.4,100,100,100,80,20,0
Rory Atkins,2,25,22,23.5,0.0,0.5,0.5,100,100,50,0,0,0
Sam Flanders,4,19,7,12.5,0.5,0.0,0.25,25,0,0,25,25,0
Sam Collins,8,17,8,12.2,0.0,0.0,1.0,20,0,0,0,0,0
Sean Lemmens,4,13,8,11.0,0.0,0.25,1.0,0,0,0,0,0,0
Thomas Berry,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0,0
Touk Miller,6,32,13,24.4,0.0,0.0,1.4,80,80,60,0,0,0
Wil Powell,6,28,13,21.0,0.0,0.2,0.6,80,60,40,0,0,0
